# 青简领域词库：饮食，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
冬菇虫草炖鲍参	dong gu chong cao dun bao shen	2
冬菇雪耳猪胰汤	dong gu xue er zhu yi tang	3
冬菇鸡脚汤	dong gu ji jiao tang	4
冬菜扣肉	dong cai kou rou	6
冬菜肉末	dong cai rou mo	5
冬蓉酥	dong rong su	3
冬虫夏草鸭	dong chong xia cao ya	5
冬虫草炖水鱼	dong chong cao dun shui yu	2
冯了性药酒	feng liao xing yao jiu	5
冰之恋	bing zhi lian	9
冰凉糕	bing liang gao	6
冰卡布奇诺	bing ka bu qi nuo	5
冰拿铁	bing na tie	26
冰拿铁咖啡	bing na tie ka fei	6
冰汁杏淖	bing zhi xing nao	2
冰泉滴珠豆浆	bing quan di zhu dou jiang	4
冰泉豆浆	bing quan dou jiang	2
冰淇淋蛋糕	bing qi lin dan gao	28
冰激凌水果沙拉	bing ji ling shui guo sha la	4
冰激凌蛋糕	bing ji ling dan gao	10
冰焦糖玛奇朵	bing jiao tang ma qi duo	4
冰片糖	bing pian tang	9
冰糖哈士蟆	bing tang ha shi ma	4
冰糖核桃	bing tang he tao	6
冰糖湘莲	bing tang xiang lian	9
