# 青简领域词库：饮食，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
红烧卷鸡	hong shao juan ji	4
红烧咕噜肉	hong shao gu lu rou	5
红烧大虾	hong shao da xia	2
红烧栗子鸡	hong shao li zi ji	5
红烧梭子蟹	hong shao suo zi xie	7
红烧浮皮	hong shao fu pi	3
红烧海参	hong shao hai shen	2
红烧滑水	hong shao hua shui	4
红烧熊掌	hong shao xiong zhang	2
红烧牛肉罐头	hong shao niu rou guan tou	6
红烧牛腩	hong shao niu nan	3
红烧狮子头	hong shao shi zi tou	24
红烧猪手	hong shao zhu shou	2
红烧猪肚	hong shao zhu du	4
红烧猪脑	hong shao zhu nao	3
红烧猪腰	hong shao zhu yao	4
红烧猪蹄	hong shao zhu ti	31
红烧猪蹄子	hong shao zhu ti zi	2
红烧猴头	hong shao hou tou	5
红烧猴头蘑	hong shao hou tou mo	2
红烧腐竹	hong shao fu zhu	4
红烧草鱼	hong shao cao yu	6
红烧赤贝	hong shao chi bei	4
红烧蹄筋	hong shao ti jin	8
红烧野鸭	hong shao ye ya	7
红烧鮰鱼	hong shao hui yu	7
红烧鱼唇	hong shao yu chun	5
红烧鱼块	hong shao yu kuai	5
红烧鱼骨	hong shao yu gu	5
红烧鲍鱼	hong shao bao yu	8
红烧鲤鱼	hong shao li yu	4
红烧鸭翅	hong shao ya chi	3
红烧鹿筋	hong shao lu jin	5
红烧麒麟面	hong shao qi lin mian	3
红焖海参	hong men hai shen	5
红焖羊头	hong men yang tou	4
红焖肉	hong men rou	2
红白果仁汤	hong bai guo ren tang	2
红碎茶	hong sui cha	3
红米红	hong mi hong	7
红糖米花糖	hong tang mi hua tang	2
红糖锅盔	hong tang guo kui	12
红糟鱼丝	hong zao yu si	3
红肉煮馍	hong rou zhu mo	4
红肘子	hong zhou zi	6
红脸烧饼	hong lian shao bing	2
红花檀香茶	hong hua tan xiang cha	2
红花黄	hong hua huang	3
红芽歪尾桃	hong ya wai wei tao	8
红苕泥	hong shao ni	5
红苕饼	hong shao bing	4
红茶法式薄饼	hong cha fa shi bao bing	3
红茶海绵蛋糕	hong cha hai mian dan gao	3
红茶饼干	hong cha bing gan	3
红菇	hong gu	42
红萝卜排骨汤	hong luo bo pai gu tang	5
红葡萄酒	hong pu tao jiu	48
红葱烧腊肉	hong cong shao la rou	2
红薯宽粉	hong shu kuan fen	4
红薯干	hong shu gan	43
红薯粉丝	hong shu fen si	10
红薯粉条	hong shu fen tiao	10
红薯粥	hong shu zhou	28
红薯酸奶	hong shu suan nai	3
红薯饭	hong shu fan	5
红虾酥心糖	hong xia su xin tang	7
红蜻蜓鱼头火锅	hong qing ting yu tou huo guo	3
红螺食品	hong luo shi pin	7
红袍莲子	hong pao lian zi	4
红豆圆仔汤	hong dou yuan zi tang	2
红豆土司	hong dou tu si	2
红豆百合糖水	hong dou bai he tang shui	3
红豆膳粥	hong dou shan zhou	4
红豆芝士	hong dou zhi shi	1
红豆莲枣粽	hong dou lian zao zong	2
红豆蛋挞	hong dou dan ta	5
红豆酱	hong dou jiang	5
红豆鲤鱼汤	hong dou li yu tang	5
红辣椒爆炒鳝片	hong la jiao bao chao shan pian	4
红酒沙司	hong jiu sha si	3
红酒牛腩	hong jiu niu nan	1
红酒猪排	hong jiu zhu pai	5
红酒醋	hong jiu cu	2
红醋栗	hong cu li	3
红颜汤	hong yan tang	4
红魔鬼	hong mo gui	27
红鱼拜年	hong yu bai nian	2
红龟	hong gui	19
纤扬茶	xian yang cha	7
纳仁	na ren	4
纳溪泡糖	na xi pao tang	3
纸包三鲜	zhi bao san xian	3
纸包鸡	zhi bao ji	3
纸杯蛋糕	zhi bei dan gao	44
纽约芝士蛋糕	niu yue zhi shi dan gao	1
组庵鱼翅	zu an yu chi	8
细花糕	xi hua gao	7
细馓子	xi san zi	4
绍兴腐乳	shao xing fu ru	9
绍兴香糕	shao xing xiang gao	8
绍兴麻鸭	shao xing ma ya	8
绍子烘蛋	shao zi hong dan	5
绒鸡待哺	rong ji dai bu	4
统管糖	tong guan tang	2
绣球乾贝	xiu qiu qian bei	5
绣球全鱼	xiu qiu quan yu	3
绣球干贝	xiu qiu gan bei	7
绣球鱼翅	xiu qiu yu chi	6
绥阳空心面	sui yang kong xin mian	7
继光饼	ji guang bing	1
绩溪一品锅	ji xi yi pin guo	4
绩溪菜糕	ji xi cai gao	3
维也纳冰咖啡	wei ye na bing ka fei	6
维也纳咖啡	wei ye na ka fei	6
维也纳巧克力杏仁蛋糕	wei ye na qiao ke li xing ren dan gao	3
维族烤羊肉	wei zu kao yang rou	4
维西豆腐	wei xi dou fu	4
绿兰莎	lv lan sha	7
绿园居	lv yuan ju	5
绿杨村	lv yang cun	11
绿柳居	lv liu ju	10
绿柳居菜馆	lv liu ju cai guan	6
绿橙	lv cheng	10
绿沁园	lv qin yuan	5
绿波廊	lv bo lang	9
绿波廊船点	lv bo lang chuan dian	2
绿盛源	lv sheng yuan	2
绿芦笋罐头	lv lu sun guan tou	3
绿苹果	lv ping guo	13
绿茵白兔饺	lv yin bai tu jiao	6
绿茶慕斯	lv cha mu si	4
绿茶糕点	lv cha gao dian	2
绿茶糯米卷	lv cha nuo mi juan	3
绿茶蛋糕	lv cha dan gao	1
绿茶软糖	lv cha ruan tang	3
绿茶酥	lv cha su	7
绿草牛	lv cao niu	6
绿豆丸子	lv dou wan zi	6
绿豆乳饮料	lv dou ru yin liao	3
绿豆兜	lv dou dou	5
绿豆冬瓜汤	lv dou dong gua tang	3
绿豆凉粉	lv dou liang fen	2
绿豆凸	lv dou tu	3
绿豆团	lv dou tuan	3
绿豆小煎饼	lv dou xiao jian bing	3
绿豆小米稀饭	lv dou xiao mi xi fan	3
绿豆粉皮	lv dou fen pi	8
绿豆豆沙包	lv dou dou sha bao	2
罐儿肉	guan er rou	1
罐儿蹄	guan er ti	3
罐儿野鸡	guan er ye ji	7
罐儿鹌鹑	guan er an chun	7
罐头梨	guan tou li	1
罐焖鱼唇	guan men yu chun	6
罐罐蒸馍	guan guan zheng mo	6
罐罐豆花	guan guan dou hua	3
罐茶	guan cha	18
网包鳜鱼	wang bao gui yu	3
网油凤肝卷	wang you feng gan juan	3
网油腰卷	wang you yao juan	3
网油鱼卷	wang you yu juan	3
网清茶	wang qing cha	12
罗勒叶	luo le ye	4
罗卜红	luo bo hong	3
罗望子多糖胶	luo wang zi duo tang jiao	3
罗村竹笋	luo cun zhu sun	5
罗汉大虾	luo han da xia	7
罗汉果冲剂	luo han guo chong ji	6
罗汉果焖瓜子鸡	luo han guo men gua zi ji	2
罗汉果爽喉茶	luo han guo shuang hou cha	2
罗汉肚	luo han du	9
罗汉饼	luo han bing	5
罗汉鱼首	luo han yu shou	1
罗汉鸭	luo han ya	4
罗锅肉	luo guo rou	5
罗马风味起士蛋花汤	luo ma feng wei qi shi dan hua tang	2
羊尾桃	yang wei tao	3
羊杂割	yang za ge	4
羊杂汤	yang za tang	45
羊杂汤锅	yang za tang guo	1
羊杂碎	yang za sui	36
羊柳	yang liu	4
羊眼包子	yang yan bao zi	6
羊筋菜	yang jin cai	6
羊羔肉	yang gao rou	18
羊耳鸡塔	yang er ji ta	3
羊肉合面	yang rou he mian	3
羊肉扁食	yang rou bian shi	3
羊肉松	yang rou song	1
羊肉汤锅	yang rou tang guo	17
羊肉火烧	yang rou huo shao	1
羊肉炒面片	yang rou chao mian pian	5
羊肉烩面	yang rou hui mian	9
羊肉焖饼	yang rou men bing	1
羊肉笼笼	yang rou long long	1
羊肉粉	yang rou fen	3
羊肉粥	yang rou zhou	10
羊肉蒸饺	yang rou zheng jiao	6
羊腥汤	yang xing tang	9
羊血米线	yang xue mi xian	5
羊角面包	yang jiao mian bao	10
美乐多	mei le duo	6
美人肝	mei ren gan	8
美味牛肉	mei wei niu rou	9
美味葱油饼	mei wei cong you bing	3
美味蛋包饭	mei wei dan bao fan	3
美国菜	mei guo cai	11
美国蛇果	mei guo she guo	8
美国香瓜	mei guo xiang gua	3
美式洋葱圈	mei shi yang cong quan	3
美式炭烤排骨	mei shi tan kao pai gu	3
美式煮鱼	mei shi zhu yu	3
美式菜肴	mei shi cai yao	7
美极基围虾	mei ji ji wei xia	2
美极虾	mei ji xia	1
美的青春茶	mei di qing chun cha	2
美食之旅	mei shi zhi lv	40
羟丙基淀粉	qiang bing ji dian fen	1
羟丙基淀粉醚	qiang bing ji dian fen mi	5
羟基硬脂精	qiang ji ying zhi jing	5
羟基香茅醛	qiang ji xiang mao quan	1
羟甲基淀粉钠	qiang jia ji dian fen na	4
群虾戏荷	qun xia xi he	2
羧甲基淀粉钠	suo jia ji dian fen na	10
羧甲基纤维素钠	suo jia ji xian wei su na	11
翅子汤	chi zi tang	5
翠云水煮鱼	cui yun shui zhu yu	1
翠亨邨	cui heng cun	5
翠坪银针茶	cui ping yin zhen cha	7
翠柳凤丝	cui liu feng si	2
翠梅酸辣鱼	cui mei suan la yu	8
翠玉豆糕	cui yu dou gao	7
翠竹粉蒸鮰鱼	cui zhu fen zheng hui yu	3
翠竹粉蒸鱼	cui zhu fen zheng yu	3
翠绿玉米	cui lv yu mi	2
翡冷翠提拉米苏	fei leng cui ti la mi su	4
翡翠剔尖	fei cui ti jian	2
翡翠水晶龙珠饺	fei cui shui jing long zhu jiao	5
翡翠烧买	fei cui shao mai	3
翡翠烧麦	fei cui shao mai	6
翡翠玉扇	fei cui yu shan	3
翡翠瑶柱羹	fei cui yao zhu geng	3
翡翠豆腐	fei cui dou fu	9
翡翠银耳	fei cui yin er	4
翡翠鱼丁	fei cui yu ding	2
翡翠鱼珠	fei cui yu zhu	5
翡翠鸡翅	fei cui ji chi	4
翡翠鸳鸯带	fei cui yuan yang dai	4
耀华西餐厅	yao hua xi can ting	3
老世泰糕点	lao shi tai gao dian	5
老二位麻酱烧饼	lao er wei ma jiang shao bing	4
老八大	lao ba da	3
老冬瓜荷叶汤	lao dong gua he ye tang	4
老北京鸡肉卷	lao bei jing ji rou juan	32
老半斋	lao ban zhai	2
老卤	lao lu	5
老友粉	lao you fen	7
老友面	lao you mian	1
老四川	lao si chuan	13
老大房月饼	lao da fang yue bing	3
老妈子带鱼	lao ma zi dai yu	3
老妈宫粽球	lao ma gong zong qiu	3
老妈蹄花	lao ma ti hua	12
老姜枸杞羊肉汤	lao jiang gou qi yang rou tang	2
老姜汤	lao jiang tang	1
老孙家羊肉泡	lao sun jia yang rou pao	4
老山记海城馅饼	lao shan ji hai cheng xian bing	7
老巴布	lao ba bu	8
老徐炒糕粿	lao xu chao gao guo	5
老椰	lao ye	1
老槐树烧饼	lao huai shu shao bing	5
老正兴	lao zheng xing	2
老正兴菜馆	lao zheng xing cai guan	7
老毛手抓	lao mao shou zhua	8
老汤姆金酒	lao tang mu jin jiu	2
老汤黄狗猪头肉	lao tang huang gou zhu tou rou	3
老火汤	lao huo tang	16
老火靓汤	lao huo liang tang	9
老科曼	lao ke man	5
老童家腊羊肉	lao tong jia la yang rou	7
老竹大方茶	lao zhu da fang cha	3
老边	lao bian	31
老边饺子	lao bian jiao zi	5
老都一处	lao du yi chu	8
老面大包	lao mian da bao	2
老鸭炖虫草	lao ya dun chong cao	3
老鸭煲	lao ya bao	7
老麻抄手	lao ma chao shou	37
老鼎丰月饼	lao ding feng yue bing	6
老鼎丰糕点	lao ding feng gao dian	7
考维	kao wei	37
耕之灵	geng zhi ling	6
耗子洞	hao zi dong	4
耗子洞樟茶鸭	hao zi dong zhang cha ya	2
耳朵眼	er duo yan	38
耳朵眼炸糕	er duo yan zha gao	9
耿福兴	geng fu xing	8
聊城铁公鸡	liao cheng tie gong ji	4
联苯醚	lian ben mi	11
聚丁烯	ju ding xi	6
聚三鲜	ju san xian	2
聚丰德	ju feng de	9
聚丰德饭店	ju feng de fan dian	5
聚乙二醇	ju yi er chun	12
聚乙烯醇	ju yi xi chun	25
聚乙酸乙烯酯	ju yi suan yi xi zhi	8
聚二甲基硅氧烷	ju er jia ji gui yang wan	2
聚异丁烯	ju yi ding xi	6
聚春园	ju chun yuan	4
聚甘油单硬脂酸酯	ju gan you dan ying zhi suan zhi	6
聚甘油脂肪酸酯	ju gan you zhi fang suan zhi	6
聚甘油蓖麻醇酯	ju gan you bi ma chun zhi	3
聚福楼	ju fu lou	1
聚葡萄糖	ju pu tao tang	9
聪喝识	cong he shi	2
肇庆裹蒸	zhao qing guo zheng	10
肉丁辣酱	rou ding la jiang	5
肉丁黄瓜酱	rou ding huang gua jiang	2
肉丝两面黄	rou si liang mian huang	4
肉丝春卷	rou si chun juan	7
肉丝汤面	rou si tang mian	1
肉丝炒年糕	rou si chao nian gao	3
肉丝炒饼	rou si chao bing	5
肉丝粉皮	rou si fen pi	4
肉丸胡辣汤	rou wan hu la tang	17
肉丸豆腐	rou wan dou fu	1
肉夹饼	rou jia bing	4
肉干	rou gan	19
肉未烧饼	rou wei shao bing	3
肉末土豆丝	rou mo tu dou si	2
肉末洋葱	rou mo yang cong	3
肉末烧茄	rou mo shao qie	4
肉末烧茄子	rou mo shao qie zi	4
肉末烧饼	rou mo shao bing	9
肉末白菜	rou mo bai cai	2
肉末胡萝卜	rou mo hu luo bo	4
肉松三文治	rou song san wen zhi	2
肉松卷	rou song juan	34
肉松面包	rou song mian bao	33
肉桂油	rou gui you	9
肉桂醛	rou gui quan	5
肉棕	rou zong	4
肉汤圆	rou tang yuan	28
肉火烧	rou huo shao	45
肉燕	rou yan	27
肉燕皮	rou yan pi	3
肉片汤	rou pian tang	12
肉片炒莴笋	rou pian chao wo sun	4
肉片烧茄子	rou pian shao qie zi	6
肉片焖扁豆	rou pian men bian dou	5
肉碎豉椒炒豇豆	rou sui chi jiao chao jiang dou	2
肉米鱼唇	rou mi yu chun	6
肉类罐头	rou lei guan tou	2
肉粥	rou zhou	40
肉罐头	rou guan tou	13
肉罐肉	rou guan rou	5
肉花卷	rou hua juan	4
肉苁蓉炖羊肉	rou cong rong dun yang rou	3
肉苁蓉炖羊肾	rou cong rong dun yang shen	3
肉茸菠菜	rou rong bo cai	3
肉蓉玉米羹	rou rong yu mi geng	4
肉质果	rou zhi guo	1
肉酱茄子	rou jiang qie zi	4
肉酿生麸圆	rou niang sheng fu yuan	4
肉锅盔	rou guo kui	2
肉馕	rou nang	2
肉骨头	rou gu tou	41
肉骨头粥	rou gu tou zhou	5
肉骨茶煲鸡	rou gu cha bao ji	5
肌苷酸二钠	ji gan suan er na	7
肌醇	ji chun	19
肌醇六磷酸钠	ji chun liu lin suan na	3
肚片	du pian	4
肝糕汤	gan gao tang	3
肠旺面	chang wang mian	22
肥肠米粉	fei chang mi fen	4
肥肠粉	fei chang fen	1
肥肠豆花	fei chang dou hua	4
肥肠面	fei chang mian	34
肴肉	yao rou	6
肴肉面	yao rou mian	1
肴驴肉	yao lv rou	9
胆钙化醇	dan gai hua chun	9
胡桃豆腐羹	hu tao dou fu geng	3
胡椒博士	hu jiao bo shi	4
胡椒海参汤	hu jiao hai shen tang	2
胡椒生姜滚猪瘦肉	hu jiao sheng jiang gun zhu shou rou	2
胡椒西红柿	hu jiao xi hong shi	2
胡椒饼	hu jiao bing	8
胡萝卜排骨汤	hu luo bo pai gu tang	3
胡萝卜粥	hu luo bo zhou	1
胡萝卜蛋糕	hu luo bo dan gao	12
胡萝卜餐包	hu luo bo can bao	2
胡麻饼	hu ma bing	1
胭脂虫红	yan zhi chong hong	1
胶东菜	jiao dong cai	3
胶姆糖基础剂	jiao mu tang ji chu ji	9
脂油年糕	zhi you nian gao	5
脂油雪花儿菜	zhi you xue hua er cai	5
脂肪酸单甘油脂	zhi fang suan dan gan you zhi	2
脂肪酸蔗糖酯	zhi fang suan zhe tang zhi	5
脆嫩味辣炒鱿鱼丝	cui nen wei la chao you yu si	2
脆松糖	cui song tang	7
脆炸火龙果	cui zha huo long guo	2
脆皮乳鸽	cui pi ru ge	9
脆皮卷	cui pi juan	6
脆皮咕噜肉	cui pi gu lu rou	3
脆皮大肠	cui pi da chang	7
脆皮桂鱼	cui pi gui yu	3
脆皮炸鲜奶	cui pi zha xian nai	1
脆皮炸鸡	cui pi zha ji	21
脆皮石鱼卷	cui pi shi yu juan	5
脆皮肠	cui pi chang	21
脆皮锅魁	cui pi guo kui	2
脆皮马蹄糕	cui pi ma ti gao	4
脆皮鱼香牛肉	cui pi yu xiang niu rou	2
脆皮鲜奶	cui pi xian nai	7
脆皮鸡	cui pi ji	11
脆皮鸳鸯糕	cui pi yuan yang gao	2
脆绍面	cui shao mian	6
脆署饼	cui shu bing	3
脆青梅	cui qing mei	3
脑磷脂	nao lin zhi	1
脱乙酰甲壳素	tuo yi xian jia ke su	7
脱氢乙酸	tuo qing yi suan	7
脱氢乙酸钠	tuo qing yi suan na	5
脱脂奶粉	tuo zhi nai fen	15
腊兔肉	la tu rou	6
腊八豆腐	la ba dou fu	1
腊味合蒸	la wei he zheng	10
腊味煲仔饭	la wei bao zai fan	4
腊味芋头糕	la wei yu tou gao	4
腊汁肉	la zhi rou	12
腊猪头	la zhu tou	8
腊羊肉	la yang rou	10
腊肉火锅	la rou huo guo	1
腊肉炒菜苔	la rou chao cai tai	4
腌水芥皮	yan shui jie pi	4
腌牛脚筋	yan niu jiao jin	5
腌腊肉	yan la rou	3
腌苤蓝丝儿	yan pie lan si er	6
腌萝卜干	yan luo bo gan	7
腌酸鱼	yan suan yu	8
腌鲜桂鱼	yan xian gui yu	7
腌鲜鳜鱼	yan xian gui yu	1
腐乳饼	fu ru bing	8
腐皮包黄鱼	fu pi bao huang yu	8
腐皮肉卷	fu pi rou juan	5
腐皮虾包	fu pi xia bao	2
腰果芹心	yao guo qin xin	3
腰果虾球	yao guo xia qiu	4
腰果鸡丁	yao guo ji ding	4
腰片	yao pian	9
腾冲大救驾	teng chong da jiu jia	6
膨松剂	peng song ji	8
膳汤一品	shan tang yi pin	5
膳粥一品	shan zhou yi pin	5
自制果冻	zi zhi guo dong	1
自制汽水	zi zhi qi shui	5
自来白月饼	zi lai bai yue bing	6
自来红月饼	zi lai hong yue bing	6
自贡水煮牛肉	zi gong shui zhu niu rou	3
自酥饼	zi su bing	3
臭桂鱼	chou gui yu	10
臭鳜鱼	chou gui yu	49
艄公号子鱼	shao gong hao zi yu	3
艇仔粥	ting zai zhou	47
良友橄榄	liang you gan lan	3
色果子	se guo zi	11
艺术糕团	yi shu gao tuan	5
艾蒿糕	ai hao gao	5
艾西姆桑扎	ai xi mu sang zha	4
芋儿烧排骨	yu er shao pai gu	4
芋儿烧鸡	yu er shao ji	3
芋儿鸡火锅	yu er ji huo guo	4
芋味三绝	yu wei san jue	4
芋头糕	yu tou gao	17
芋头酥	yu tou su	8
芒果果泥	mang guo guo ni	1
芒果班戟	mang guo ban ji	12
芒果色拉	mang guo se la	6
芒果芝士蛋糕	mang guo zhi shi dan gao	3
芒果雪芭	mang guo xue ba	8
芒果鸡柳	mang guo ji liu	3
芒香西番莲	mang xiang xi fan lian	2
芙蓉大虾	fu rong da xia	4
芙蓉套蟹	fu rong tao xie	4
芙蓉干贝	fu rong gan bei	8
芙蓉汤	fu rong tang	4
芙蓉海参	fu rong hai shen	6
芙蓉海底	fu rong hai di	3
芙蓉烧麦	fu rong shao mai	3
芙蓉燕菜	fu rong yan cai	6
芙蓉百花鲍	fu rong bai hua bao	4
芙蓉糕	fu rong gao	2
芙蓉菜心	fu rong cai xin	2
芙蓉藿香饺	fu rong huo xiang jiao	4
芙蓉蛋	fu rong dan	8
芙蓉蟹	fu rong xie	8
芙蓉餐厅	fu rong can ting	6
芙蓉鱼角	fu rong yu jiao	3
芙蓉鱼骨	fu rong yu gu	4
芙蓉鲜蔬汤	fu rong xian shu tang	1
芙蓉鲫鱼	fu rong ji yu	8
芙蓉鹿尾	fu rong lu wei	2
芜湖瓜子	wu hu gua zi	5
芜爆里脊	wu bao li ji	4
芝兰斋糕干	zhi lan zhai gao gan	7
芝士海鲜盏	zhi shi hai xian zhan	2
芝士蛋堡	zhi shi dan bao	6
芝士蛋堡餐	zhi shi dan bao can	2
芝葱饼	zhi cong bing	3
芝香鸡肉酥	zhi xiang ji rou su	3
芝麻南糖	zhi ma nan tang	5
芝麻卷	zhi ma juan	2
芝麻团	zhi ma tuan	1
芝麻小白菜	zhi ma xiao bai cai	2
芝麻杆	zhi ma gan	8
芝麻杏仁糊	zhi ma xing ren hu	4
芝麻汤团	zhi ma tang tuan	1
芝麻汤圆	zhi ma tang yuan	34
芝麻片	zhi ma pian	1
芝麻田鸡	zhi ma tian ji	3
芝麻糕	zhi ma gao	2
芝麻肉丝	zhi ma rou si	5
芝麻肉片	zhi ma rou pian	3
芝麻螺	zhi ma luo	3
芝麻豆腐	zhi ma dou fu	8
芝麻酥	zhi ma su	3
芝麻酥心糖	zhi ma su xin tang	4
芝麻酥糖	zhi ma su tang	1
芝麻酱拌面	zhi ma jiang ban mian	4
芝麻锅炸	zhi ma guo zha	3
芝麻鱼	zhi ma yu	7
芝麻鱼卷	zhi ma yu juan	3
芝麻鱼球	zhi ma yu qiu	2
芡实果	qian shi guo	5
芡实猪肚汤	qian shi zhu du tang	4
芡实百合芋头煲	qian shi bai he yu tou bao	5
芡实糕	qian shi gao	10
芥兰炒香肠	gai lan chao xiang chang	3
芥兰牛肉	gai lan niu rou	5
芥末墩儿	jie mo dun er	1
芥末粉	jie mo fen	1
芥末鸭膀	jie mo ya bang	3
芥茉鸭掌	jie mo ya zhang	5
芥菜咸蛋鱼头汤	gai cai xian dan yu tou tang	2
芥菜圆子	gai cai yuan zi	7
芦笋大虾	lu sun da xia	3
芦笋手卷	lu sun shou juan	7
芦笋炒牛肉	lu sun chao niu rou	4
芦笋炒鸡柳	lu sun chao ji liu	2
芦笋煎黄菜	lu sun jian huang cai	2
芦笋牛肉	lu sun niu rou	1
芦笋罐头	lu sun guan tou	10
芦笋虾球	lu sun xia qiu	2
芦笋鲍鱼汤	lu sun bao yu tang	3
芦笋鸡块	lu sun ji kuai	4
芦荟酒	lu hui jiu	1
芦蒿炒香干	lu hao chao xiang gan	8
芪烧活鱼	qi shao huo yu	4
芪蒸鹌鹑	qi zheng an chun	5
芪蛇汤	qi she tang	3
芫爆仔鸽	yan bao zi ge	6
芫爆肚丝	yan bao du si	5
芮城麻片	rui cheng ma pian	7
花式酥	hua shi su	4
花旗参炖水鸭	hua qi shen dun shui ya	3
花旗参炖竹丝鸡	hua qi shen dun zhu si ji	7
花果黄鱼	hua guo huang yu	2
花样馃子	hua yang guo zi	2
花根	hua gen	7
花椒粉	hua jiao fen	13
花椒鱼片	hua jiao yu pian	1
花江炒粉	hua jiang chao fen	3
花江狗肉	hua jiang gou rou	2
花煎饼	hua jian bing	7
花生仁	hua sheng ren	18
花生大枣猪蹄汤	hua sheng da zao zhu ti tang	3
花生支竹鱼头汤	hua sheng zhi zhu yu tou tang	2
花生枣	hua sheng zao	8
花生桂圆红枣汤	hua sheng gui yuan hong zao tang	2
花生汤	hua sheng tang	44
花生浆	hua sheng jiang	8
花生猪蹄	hua sheng zhu ti	1
花生粘	hua sheng zhan	6
花生糕	hua sheng gao	9
花生糖	hua sheng tang	42
花生衣红	hua sheng yi hong	6
花生酥	hua sheng su	24
花生酥心糖	hua sheng su xin tang	3
花生酱葱花饼	hua sheng jiang cong hua bing	2
花生鸡脚汤	hua sheng ji jiao tang	5
花盏龙眼	hua zhan long yan	3
花篮白菜	hua lan bai cai	2
花胶瘦肉羹	hua jiao shou rou geng	2
花色酥点	hua se su dian	3
花茹田鸡	hua ru tian ji	3
花草堂	hua cao tang	1
花草木三友茶	hua cao mu san you cha	4
花菇田鸡	hua gu tian ji	2
花菇石鸡	hua gu shi ji	2
花菇鸭掌	hua gu ya zhang	4
花蛋糕	hua dan gao	4
花雕酒	hua diao jiu	13
花雕醉虾	hua diao zui xia	3
花雕鸡	hua diao ji	21
芳樟醇	fang zhang chun	6
芸豆卷	yun dou juan	2
芹菜拌腐竹	qin cai ban fu zhu	6
芹菜牛肉丝	qin cai niu rou si	5
芹黄烧鱼条	qin huang shao yu tiao	2
芹黄鱼丝	qin huang yu si	3
苁蓉羊肉羹	cong rong yang rou geng	3
苋菜红	xian cai hong	13
苋菜红铝色淀	xian cai hong lv se dian	2
苏八件	su ba jian	3
苏州茉莉花茶	su zhou mo li hua cha	8
苏州话梅	su zhou hua mei	4
苏州酱汁肉	su zhou jiang zhi rou	5
苏州酱鸭	su zhou jiang ya	4
苏式点心	su shi dian xin	7
苏式船点	su shi chuan dian	4
苏式蜜饯	su shi mi jian	6
苏式鲜肉月饼	su shi xian rou yue bing	4
苏打饼干	su da bing gan	7
苏稽米花糖	su ji mi hua tang	4
苏菜	su cai	4
苔干羊肉丝	tai gan yang rou si	4
苔菜	tai cai	6
苔菜千层酥	tai cai qian ceng su	5
苔菜小方烤	tai cai xiao fang kao	8
苕酥糖	tiao su tang	3
苗乡酸汤水饺	miao xiang suan tang shui jiao	2
苗家粉蒸肉	miao jia fen zheng rou	4
苞芦松	bao lu song	6
苞谷酒	bao gu jiu	1
苣荬菜包子	qu mai cai bao zi	3
苦地胆猪瘦肉汤	ku di dan zhu shou rou tang	2
苦瓜粥	ku gua zhou	7
苦瓜酿肉	ku gua niang rou	1
苦瓜鸡片	ku gua ji pian	2
苦瓜黑鱼汤	ku gua hei yu tang	3
苦艾酒	ku ai jiu	25
苦荞饸饹	ku qiao he le	2
苦麦菜鲩鱼片滚豆腐	ku mai cai huan yu pian gun dou fu	3
苯乙酸	ben yi suan	5
苯乙酸甲酯	ben yi suan jia zhi	1
苯乙醇	ben yi chun	8
苯乙醛	ben yi quan	17
苯基苯酚	ben ji ben fen	8
苯基苯酚钠	ben ji ben fen na	3
苯甲酸苄酯	ben jia suan bian zhi	4
苯甲酸钠	ben jia suan na	4
苯甲醇	ben jia chun	35
英国菜	ying guo cai	10
英德红茶	ying de hong cha	4
苹果冻	ping guo dong	12
苹果卷	ping guo juan	8
苹果啤酒	ping guo pi jiu	7
苹果沙司罐头	ping guo sha si guan tou	2
苹果炖鱼	ping guo dun yu	5
苹果白兰地咖啡	ping guo bai lan di ka fei	2
苹果粟米鸡肉羹	ping guo su mi ji rou geng	2
苹果脯	ping guo fu	9
苹果菠萝生姜汁	ping guo bo luo sheng jiang zhi	3
苹果蛋糕	ping guo dan gao	2
苹果软糖	ping guo ruan tang	7
苹果酥	ping guo su	8
苹果酸	ping guo suan	22
苹果醋	ping guo cu	5
苹果马提尼	ping guo ma ti ni	5
范关酒	fan guan jiu	6
茄团	qie tuan	4
茄子三明治	qie zi san ming zhi	3
茄子晒炉肉	qie zi shai lu rou	5
