# 青简领域词库：诗词名句，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
蜀人几为鱼	shu ren ji wei yu	2
蜀人游乐不知还	shu ren you le bu zhi huan	3
蜀人衣食常苦艰	shu ren yi shi chang ku jian	2
蜀僧抱绿绮	shu seng bao lv qi	3
蜀国多仙山	shu guo duo xian shan	3
蜀国曾闻子规鸟	shu guo ceng wen zi gui niao	2
蜀江水碧蜀山青	shu jiang shui bi shu shan qing	2
蜀王无近信	shu wang wu jin xin	2
蜀道之难难于上青天	shu dao zhi nan nan yu shang qing tian	4
蜀酒浓无敌	shu jiu nong wu di	3
蜀麻吴盐自古通	shu ma wu yan zi gu tong	2
蜂黄暗偷晕	feng huang an tou yun	2
蜃散云收破楼阁	shen san yun shou po lou ge	4
蜗牛角上争何事	wo niu jiao shang zheng he shi	3
蜡炬成灰泪始干	la ju cheng hui lei shi gan	3
蜡烛有心还惜别	la zhu you xin huan xi bie	2
蜷局顾而不行	quan ju gu er bu xing	3
蜻蜓飞上玉搔头	qing ting fei shang yu sao tou	2
蝉噪林逾静	chan zao lin yu jing	4
蝉声未发前	chan sheng wei fa qian	2
蝶恋花答李淑一	die lian hua da li shu yi	3
蝶栖石竹银交关	die qi shi zhu yin jiao guan	2
蝶绕绣衣花	die rao xiu yi hua	2
蝼蚁往还空垄亩	lou yi wang huan kong long mu	3
螮蝀饮河形影联	di dong yin he xing ying lian	3
螳螂执翳而搏之	tang lang zhi yi er bo zhi	2
蟪蛄不知春秋	hui gu bu zhi chun qiu	1
蟹六跪而二螯	xie liu gui er er ao	2
蟹眼已过鱼眼生	xie yan yi guo yu yan sheng	2
蟹螯即金液	xie ao ji jin ye	5
血作陈陶泽中水	xue zuo chen tao ze zhong shui	3
血色罗裙翻酒污	xue se luo qun fan jiu wu	1
行不得也哥哥	xing bu de ye ge ge	4
行不忍人之政	xing bu ren ren zhi zheng	3
行不言之教	xing bu yan zhi jiao	1
行义以达其道	xing yi yi da qi dao	3
行乐及时时已晚	xing le ji shi shi yi wan	3
行乐须及春	xing le xu ji chun	16
行云去后遥山暝	xing yun qu hou yao shan ming	3
行人刁斗风沙暗	xing ren diao dou feng sha an	2
行人弓箭各在腰	xing ren gong jian ge zai yao	1
行人更在春山外	xing ren geng zai chun shan wai	1
行军用兵之道	xing jun yong bing zhi dao	2
行到小溪深处	xing dao xiao xi shen chu	2
行到水穷处	xing dao shui qiong chu	22
行吟楚山玉	xing yin chu shan yu	2
行天下之大道	xing tian xia zhi da dao	5
行成于思而毁于随	xing cheng yu si er hui yu sui	4
行拂乱其所为	xing fu luan qi suo wei	1
行有不得者	xing you bu de zhe	4
行歌尽落梅	xing ge jin luo mei	2
行者休于树	xing zhe xiu yu shu	3
行舟绿水前	xing zhou lv shui qian	3
行藏终欲付何人	xing cang zhong yu fu he ren	2
行行重行行	xing xing chong xing xing	4
行路难三首	xing lu nan san shou	2
行辟人可也	xing bi ren ke ye	2
行遍天涯真老矣	xing bian tian ya zhen lao yi	2
行道之人弗受	xing dao zhi ren fu shou	4
行酒石榴裙	xing jiu shi liu qun	2
衔得锦标第一归	xian de jin biao di yi gui	3
衔泥巢君屋	xian ni chao jun wu	2
衔泥点污琴书内	xian ni dian wu qin shu nei	2
衙斋卧听萧萧竹	ya zhai wo ting xiao xiao zhu	9
衡阳归雁几封书	heng yang gui yan ji feng shu	3
衡阳雁去无留意	heng yang yan qu wu liu yi	5
衡阳雁声彻	heng yang yan sheng che	2
衢州人食人	qu zhou ren shi ren	3
衣上征尘杂酒痕	yi shang zheng chen za jiu hen	2
衣冠简朴古风存	yi guan jian pu gu feng cun	4
衣如飞鹑马如狗	yi ru fei chun ma ru gou	2
衣带日已缓	yi dai ri yi huan	1
衣带渐宽终不悔	yi dai jian kuan zhong bu hui	30
衣服云霞鲜	yi fu yun xia xian	2
衣沾不足惜	yi zhan bu zu xi	1
衣润费炉烟	yi run fei lu yan	2
衣袖露两肘	yi xiu lu liang zhou	3
衣裳已施行看尽	yi shang yi shi xing kan jin	3
衣露净琴张	yi lu jing qin zhang	2
衣食足而知荣辱	yi shi zu er zhi rong ru	2
表里俱澄澈	biao li ju cheng che	7
衰兰送客咸阳道	shuai lan song ke xian yang dao	3
衰年关鬲冷	shuai nian guan ge leng	2
衰怀造胜境	shuai huai zao sheng jing	2
衰颜欲付紫金丹	shuai yan yu fu zi jin dan	2
袅袅兮秋风	niao niao xi qiu feng	4
袅袅凉风起	niao niao liang feng qi	1
袈裟忆上泛湖船	jia sha yi shang fan hu chuan	2
袖中忽见三行字	xiu zhong hu jian san hang zi	2
袖手无言味最长	xiu shou wu yan wei zui chang	3
被发之叟狂而痴	bei fa zhi sou kuang er chi	2
被服纨与素	bei fu wan yu su	3
被石兰兮带杜衡	bei shi lan xi dai du heng	2
被薜荔兮带女萝	bei bi li xi dai nv luo	2
被酒莫惊春睡重	bei jiu mo jing chun shui zhong	4
被驱不异犬与鸡	bei qu bu yi quan yu ji	2
袭芳践兰室	xi fang jian lan shi	3
装点此关山	zhuang dian ci guan shan	7
裘马颇清狂	qiu ma po qing kuang	3
裙妒石榴花	qun du shi liu hua	2
裸体青林中	luo ti qing lin zhong	3
裹饭而往食之	guo fan er wang shi zhi	2
褒公鄂公毛发动	bao gong e gong mao fa dong	2
襄王云雨今安在	xiang wang yun yu jin an zai	2
襄阳好风日	xiang yang hao feng ri	5
襄阳小儿齐拍手	xiang yang xiao er qi pai shou	3
西上令人老	xi shang ling ren lao	2
西上太白峰	xi shang tai bai feng	2
西下峨眉峰	xi xia e mei feng	2
西北有浮云	xi bei you fu yun	3
西北有高楼	xi bei you gao lou	5
西北望乡何处是	xi bei wang xiang he chu shi	4
西北望长安	xi bei wang chang an	4
西园翰墨林	xi yuan han mo lin	3
西城杨柳弄春柔	xi cheng yang liu nong chun rou	1
西塞山前白鹭飞	xi sai shan qian bai lu fei	5
西塞山怀古	xi sai shan huai gu	3
西夷之人也	xi yi zhi ren ye	2
西子下姑苏	xi zi xia gu su	2
西山兰若试茶歌	xi shan lan re shi cha ge	3
西山寇盗莫相侵	xi shan kou dao mo xiang qin	2
西岳峥嵘何壮哉	xi yue zheng rong he zhuang zai	2
西崦人家应最乐	xi yan ren jia ying zui le	2
西川供客眼	xi chuan gong ke yan	3
西当太白有鸟道	xi dang tai bai you niao dao	1
西忆故人不可见	xi yi gu ren bu ke jian	2
西挂咸阳树	xi gua xian yang shu	2
西施越溪女	xi shi yue xi nv	3
西望长安不见家	xi wang chang an bu jian jia	4
西楼无客共谁尝	xi lou wu ke gong shei chang	2
西楼望月几回圆	xi lou wang yue ji hui yuan	2
西江万里船	xi jiang wan li chuan	2
西江月井冈山	xi jiang yue jing gang shan	3
西湖天下景	xi hu tian xia jing	2
西湖歌舞几时休	xi hu ge wu ji shi xiu	1
西蜀子云亭	xi shu zi yun ting	1
西辉逐流水	xi hui zhu liu shui	2
西陆蝉声唱	xi lu chan sheng chang	1
西风多少恨	xi feng duo shao hen	13
西风愁起绿波间	xi feng chou qi lv bo jian	3
西风梨枣山园	xi feng li zao shan yuan	3
西风漫卷孤城	xi feng man juan gu cheng	2
西风莫道无情思	xi feng mo dao wu qing si	2
西风袅袅秋	xi feng niao niao qiu	2
要伴骚人餐落英	yao ban sao ren can luo ying	2
要似昆仑崩绝壁	yao si kun lun beng jue bi	3
要向潇湘直进	yao xiang xiao xiang zhi jin	3
要将宇宙看稊米	yao jiang yu zhou kan ti mi	3
要愁那得功夫	yao chou na de gong fu	1
要扫除一切害人虫	yao sao chu yi qie hai ren chong	4
要留清白在人间	yao liu qing bai zai ren jian	2
要留青白在人间	yao liu qing bai zai ren jian	2
要看细雨熟黄梅	yao kan xi yu shu huang mei	1
要看银山拍天浪	yao kan yin shan pai tian lang	4
要知松高洁	yao zhi song gao jie	5
要自拨其根	yao zi bo qi gen	2
要近丛篁听雨声	yao jin cong huang ting yu sheng	2
要须回舞袖	yao xu hui wu xiu	2
覆压三百余里	fu ya san bai yu li	5
覆水再收岂满杯	fu shui zai shou qi man bei	2
见不善如探汤	jian bu shan ru tan tang	8
见不贤而内自省也	jian bu xian er nei zi xing ye	2
见与儿童邻	jian yu er tong lin	4
见之自清凉	jian zhi zi qing liang	2
见人不语颦蛾眉	jian ren bu yu pin e mei	2
见佝偻者承蜩	jian gou lv zhe cheng tiao	2
见利而忘其真	jian li er wang qi zhen	2
见君前日书	jian jun qian ri shu	2
见善如不及	jian shan ru bu ji	8
见小利则大事不成	jian xiao li ze da shi bu cheng	4
见底何如此	jian di he ru ci	2
见我应如是	jian wo ying ru shi	2
见是银河泻	jian shi yin he xie	2
见者惊犹鬼神	jian zhe jing you gui shen	3
见说风流极	jian shuo feng liu ji	2
见贤思齐焉	jian xian si qi yan	2
见长空万里	jian chang kong wan li	2
见面怜清瘦	jian mian lian qing shou	3
观书散遗帙	guan shu san yi zhi	2
观其色赧赧然	guan qi se nan nan ran	2
观千剑而后识器	guan qian jian er hou shi qi	1
观千剑而识器	guan qian jian er shi qi	3
观巴黎油画记	guan ba li you hua ji	2
观心不观迹	guan xin bu guan ji	2
观此遗物虑	guan ci yi wu lv	2
观海则意溢于海	guan hai ze yi yi yu hai	4
观者如山色沮丧	guan zhe ru shan se ju sang	2
观鱼胜过富春江	guan yu sheng guo fu chun jiang	4
觅花来渡口	mi hua lai du kou	3
视死忽如归	shi si hu ru gui	6
览方外之荒忽兮	lan fang wai zhi huang hu xi	2
览民尤以自镇	lan min you yi zi zhen	2
览民德焉错辅	lan min de yan cuo fu	2
览百卉之英茂	lan bai hui zhi ying mao	2
觉今是而昨非	jue jin shi er zuo fei	5
觉宇宙之无穷	jue yu zhou zhi wu qiong	2
觉而后知其梦也	jue er hou zhi qi meng ye	2
角声孤起夕阳楼	jiao sheng gu qi xi yang lou	2
角声满天秋色里	jiao sheng man tian qiu se li	3
解把飞花蒙日月	jie ba fei hua meng ri yue	3
解缆及流潮	jie lan ji liu chao	3
解落三秋叶	jie luo san qiu ye	1
解释春风无限恨	jie shi chun feng wu xian hen	2
解钓鲈鱼能几人	jie diao lu yu neng ji ren	2
解鞍少驻初程	jie an shao zhu chu cheng	1
解鞍欹枕绿杨桥	jie an qi zhen lv yang qiao	3
触处似花开	chu chu si hua kai	4
言不可以若是其几也	yan bu ke yi ruo shi qi ji ye	2
言不顺则事不成	yan bu shun ze shi bu cheng	1
言举斯心加诸彼而已	yan ju si xin jia zhu bi er yi	2
言之必可行也	yan zhi bi ke xing ye	2
言之所不能论	yan zhi suo bu neng lun	2
言师采药去	yan shi cai yao qu	5
言笑无厌时	yan xiao wu yan shi	2
言者所以在意	yan zhe suo yi zai yi	2
言而无文行之不远	yan er wu wen xing zhi bu yuan	2
誓不举家走	shi bu ju jia zou	2
誓扫匈奴不顾身	shi sao xiong nu bu gu shen	3
謇吾法夫前修兮	jian wu fa fu qian xiu xi	3
謇朝谇而夕替	jian chao sui er xi ti	2
计拙是和亲	ji zhuo shi he qin	2
认得醉翁语	ren de zui weng yu	2
记得偏重三五	ji de pian zhong san wu	3
记得去年今日	ji de qu nian jin ri	2
记得小苹初见	ji de xiao ping chu jian	2
记得当年草上飞	ji de dang nian cao shang fei	4
记承天寺夜游	ji cheng tian si ye you	5
许我为三友	xu wo wei san you	2
论万物之理也	lun wan wu zhi li ye	2
论交何必先同调	lun jiao he bi xian tong diao	2
论交入酒垆	lun jiao ru jiu lu	3
论功还欲请长缨	lun gong huan yu qing chang ying	2
论心何必先同调	lun xin he bi xian tong diao	2
论画以形似	lun hua yi xing si	3
设酒杀鸡作食	she jiu sha ji zuo shi	4
访古一沾裳	fang gu yi zhan shang	2
访古始及平台间	fang gu shi ji ping tai jian	2
访戴天山道士不遇	fang dai tian shan dao shi bu yu	2
访旧半为鬼	fang jiu ban wei gui	4
词中有誓两心知	ci zhong you shi liang xin zhi	3
词客有灵应识我	ci ke you ling ying shi wo	2
词气浩纵横	ci qi hao zong heng	2
试上高楼清入骨	shi shang gao lou qing ru gu	4
试戴银旛判醉倒	shi dai yin fan pan zui dao	2
试灯无意思	shi deng wu yi si	3
试玉要烧三日满	shi yu yao shao san ri man	1
试看天下谁能敌	shi kan tian xia shui neng di	7
试看天地翻覆	shi kan tian di fan fu	3
试问卷帘人	shi wen juan lian ren	4
试问岭南应不好	shi wen ling nan ying bu hao	1
试问归程指斗杓	shi wen gui cheng zhi dou biao	2
试问池台主	shi wen chi tai zhu	2
试问闲愁都几许	shi wen xian chou du ji xu	2
诗书好在家四壁	shi shu hao zai jia si bi	2
诗人兴会更无前	shi ren xing hui geng wu qian	1
诗到随州更老成	shi dao sui zhou geng lao cheng	3
诗卷长留天地间	shi juan chang liu tian di jian	1
诗名满天下	shi ming man tian xia	2
诗家总爱西昆好	shi jia zong ai xi kun hao	2
诗家清景在新春	shi jia qing jing zai xin chun	1
诗成泣鬼神	shi cheng qi gui shen	4
诗是吾家事	shi shi wu jia shi	2
诗画本一律	shi hua ben yi lv	3
诗罢闻吴咏	shi ba wen wu yong	2
诗酒趁年华	shi jiu chen nian hua	20
诚既勇兮又以武	cheng ji yong xi you yi wu	6
诚知此恨人人有	cheng zhi ci hen ren ren you	3
诟索之而不得也	gou suo zhi er bu de ye	2
诡怪以疑民	gui guai yi yi min	3
语之所贵者	yu zhi suo gui zhe	2
语之而不惰者	yu zhi er bu duo zhe	2
语来江色暮	yu lai jiang se mu	2
语罢暮天钟	yu ba mu tian zhong	3
误入藕花深处	wu ru ou hua shen chu	2
误向惊凫吹	wu xiang jing fu chui	2
误落尘网中	wu luo chen wang zhong	1
说之虽不以道	shuo zhi sui bu yi dao	2
说尽平生意	shuo jin ping sheng yi	2
说尽心中无限事	shuo jin xin zhong wu xian shi	1
诵明月之诗	song ming yue zhi shi	2
请为父老歌	qing wei fu lao ge	4
请事斯语矣	qing shi si yu yi	2
请从吏夜归	qing cong li ye gui	3
请君为我侧耳听	qing jun wei wo ce er ting	2
请君暂上凌烟阁	qing jun zan shang ling yan ge	4
请君莫奏前朝曲	qing jun mo zou qian chao qu	3
请君试问东流水	qing jun shi wen dong liu shui	4
请奉盆缶秦王	qing feng pen fou qin wang	2
请看何处不如君	qing kan he chu bu ru jun	2
请看石上藤萝月	qing kan shi shang teng luo yue	3
请讲以所闻	qing jiang yi suo wen	2
诸侯加兵是无赵也	zhu hou jia bing shi wu zhao ye	2
诸侯尽西来	zhu hou jin xi lai	3
诸公碌碌皆余子	zhu gong lu lu jie yu zi	2
诸大夫皆曰可杀	zhu da fu jie yue ke sha	7
诸大夫皆曰贤	zhu da fu jie yue xian	2
诸葛大名垂宇宙	zhu ge da ming chui yu zhou	3
读书万卷不读律	du shu wan juan bu du lv	3
读书万卷始通神	du shu wan juan shi tong shen	1
读书有味身忘老	du shu you wei shen wang lao	3
读罢泪沾襟	du ba lei zhan jin	1
谁与共平生	shui yu gong ping sheng	2
谁为表予心	shui wei biao yu xin	4
谁人可相从	shui ren ke xiang cong	2
谁人得似张公子	shui ren de si zhang gong zi	2
谁人曾与评说	shui ren ceng yu ping shuo	1
谁令骑马客京华	shui ling qi ma ke jing hua	3
谁似浮云知进退	shui si fu yun zhi jin tui	2
谁作桓伊三弄	shui zuo huan yi san nong	2
谁向高楼横玉笛	shui xiang gao lou heng yu di	2
谁听呢喃语	shui ting ni nan yu	2
谁复挑灯夜补衣	shui fu tiao deng ye bu yi	2
谁复留君住	shui fu liu jun zhu	2
谁家今夜扁舟子	shui jia jin ye pian zhou zi	3
谁家女儿对门居	shui jia nv er dui men ju	2
谁家新燕啄春泥	shui jia xin yan zhuo chun ni	8
谁家玉笛暗飞声	shui jia yu di an fei sheng	3
谁家见月能闲坐	shui jia jian yue neng xian zuo	4
谁将春色来残堞	shui jiang chun se lai can die	2
谁念幽寒坐呜呃	shui nian you han zuo wu e	3
谁念西风独自凉	shui nian xi feng du zi liang	1
谁怜容足地	shui lian rong zu di	2
谁怜流落江湖上	shui lian liu luo jiang hu shang	3
谁悲失路之人	shui bei shi lu zhi ren	1
谁持彩练当空舞	shui chi cai lian dang kong wu	7
谁挥鞭策驱四运	shui hui bian ce qu si yun	2
谁敢横刀立马	shui gan heng dao li ma	6
谁欲讨莼羹	shui yu tao chun geng	3
谁知临老相逢日	shui zhi lin lao xiang feng ri	2
谁知恩爱重	shui zhi en ai zhong	2
谁知林栖者	shui zhi lin qi zhe	3
谁知盘中餐	shui zhi pan zhong can	2
谁知离别情	shui zhi li bie qing	2
谁知苍翠容	shui zhi cang cui rong	2
谁知闲凭阑干处	shui zhi xian ping lan gan chu	2
谁翻乐府凄凉曲	shui fan yue fu qi liang qu	3
谁能为此谋	shui neng wei ci mou	2
谁能久不顾	shui neng jiu bu gu	2
谁能绝人命	shui neng jue ren ming	2
谁见幽人独往来	shui jian you ren du wang lai	1
谁言寸草心	shui yan cun cao xin	9
谁识卧龙客	shui shi wo long ke	4
谁谓天地宽	shui wei tian di kuan	2
谁道人生无再少	shui dao ren sheng wu zai shao	1
谁道吾今无往还	shui dao wu jin wu wang huan	2
调瑟在张弦	tiao se zai zhang xian	2
谈空说有夜不眠	tan kong shuo you ye bu mian	2
谈笑凯歌还	tan xiao kai ge huan	6
谈笑无还期	tan xiao wu huan qi	4
谋身绮季长	mou shen qi ji chang	2
谏太宗十思疏	jian tai zong shi si shu	1
谓之义之徒	wei zhi yi zhi tu	2
谓之倒置之民	wei zhi dao zhi zhi min	2
谓其君不能者	wei qi jun bu neng zhe	2
谓吾忍舍汝而死	wei wu ren she ru er si	4
谓幽兰其不可佩	wei you lan qi bu ke pei	2
谗言三及慈母惊	chan yan san ji ci mu jing	3
谢公宿处今尚在	xie gong su chu jin shang zai	2
谢公最小偏怜女	xie gong zui xiao pian lian nv	2
谢公陈迹自难追	xie gong chen ji zi nan zhui	2
谢家轻絮沈郎钱	xie jia qing xu shen lang qian	3
谢郎东墅连春碧	xie lang dong shu lian chun bi	2
谣诼谓余以善淫	yao zhuo wei yu yi shan yin	4
谨使臣良奉白璧一双	jin shi chen liang feng bai bi yi shuang	2
谨守而勿失	jin shou er wu shi	2
谨庠序之教	jin xiang xu zhi jiao	1
谨拜表以闻	jin bai biao yi wen	3
谪居卧病浔阳城	zhe ju wo bing xun yang cheng	1
谷不可胜食也	gu bu ke sheng shi ye	4
谷与鱼鳖不可胜食	gu yu yu bie bu ke sheng shi	3
谷幽光未显	gu you guang wei xian	2
谷米与贤才	gu mi yu xian cai	2
豆在釜中泣	dou zai fu zhong qi	5
豆荚圆且小	dou jia yuan qie xiao	2
豆蔻梢头二月初	dou kou shao tou er yue chu	1
象罔乃可以得之乎	xiang wang nai ke yi de zhi hu	2
豪华尽出成功后	hao hua jin chu cheng gong hou	2
豪华落尽见真淳	hao hua luo jin jian zhen chun	3
豪士集新亭	hao shi ji xin ting	2
豪家沽酒长安陌	hao jia gu jiu chang an mo	2
豺狼尽冠缨	chai lang jin guan ying	2
豺狼得食喧	chai lang de shi xuan	2
貂冠水苍玉	diao guan shui cang yu	2
貂裘换酒也堪豪	diao qiu huan jiu ye kan hao	3
貌偷花色老暂去	mao tou hua se lao zan qu	2
貌恭而不心服	mao gong er bu xin fu	3
负命者上钩	fu ming zhe shang gou	2
负暄闭目坐	fu xuan bi mu zuo	3
财物无所取	cai wu wu suo qu	2
责家填门至	ze jia tian men zhi	2
贤哲不苟合	xian zhe bu gou he	2
贤圣既已饮	xian sheng ji yi yin	2
贤愚千载知谁是	xian yu qian zai zhi shui shi	3
贤者识其大者	xian zhe shi qi da zhe	3
质直而好义	zhi zhi er hao yi	3
质胜文则野	zhi sheng wen ze ye	6
贪看海蟾狂戏	tan kan hai chan kuang xi	2
贪看白鹭横秋浦	tan kan bai lu heng qiu pu	3
贫中无处可安贫	pin zhong wu chu ke an pin	3
贫中有等级	pin zhong you deng ji	2
贫居往往无烟火	pin ju wang wang wu yan huo	2
贫村才数家	pin cun cai shu jia	3
贫贱之知不可忘	pin jian zhi zhi bu ke wang	3
贫贱夫妻百事哀	pin jian fu qi bai shi ai	1
贯薜荔之落蕊	guan bi li zhi luo rui	2
贱妾何聊生	jian qie he liao sheng	3
贱妾留空房	jian qie liu kong fang	2
贱妾茕茕守空房	jian qie qiong qiong shou kong fang	2
贵人头上不曾饶	gui ren tou shang bu ceng rao	4
贵人皆怪怒	gui ren jie guai nu	2
贵贱不在己	gui jian bu zai ji	2
贼义者谓之残	zei yi zhe wei zhi can	2
贼仁者谓之贼	zei ren zhe wei zhi zei	2
贼其君者也	zei qi jun zhe ye	2
贼其民者也	zei qi min zhe ye	2
贼夫人之子	zei fu ren zhi zi	3
贾傅松醪酒	jia fu song lao jiu	2
贾氏窥帘韩掾少	jia shi kui lian han yuan shao	2
贾生才调更无伦	jia sheng cai diao geng wu lun	4
贾谊哭时事	jia yi ku shi shi	2
资此永幽栖	zi ci yong you qi	3
赋得古原草送别	fu de gu yuan cao song bie	5
赋诗必此诗	fu shi bi ci shi	2
赌书消得泼茶香	du shu xiao de po cha xiang	9
赏心乐事谁家院	shang xin le shi shui jia yuan	5
赏心亭为叶丞相赋	shang xin ting wei ye cheng xiang fu	2
赐也闻一以知二	ci ye wen yi yi zhi er	2
赐钱二百万	ci qian er bai wan	2
赖以拄其间	lai yi zhu qi jian	4
赖有明朝看潮在	lai you ming chao kan chao zai	2
