# 青简领域词库：医学，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
白花蛇舌草	bai hua she she cao	6
白若杂纳	bai ruo za na	7
白茅根	bai mao gen	3
白莲洞公园	bai lian dong gong yuan	1
白蒺藜	bai ji li	6
白蔹	bai lian	4
白蔻	bai kou	5
白薇	bai wei	10
白藜芦醇	bai li lu chun	5
白藤湖	bai teng hu	6
白虎加人参汤	bai hu jia ren shen tang	3
白虎汤	bai hu tang	2
白蚁巢	bai yi chao	1
白蛋白	bai dan bai	28
白血病病毒	bai xue bing bing du	3
白豆蔻	bai dou kou	2
白质	bai zhi	34
白通汤	bai tong tang	3
白附片	bai fu pian	3
白降丹	bai jiang dan	4
白霜	bai shuang	18
白首乌	bai shou wu	5
白鲜皮	bai xian pi	3
白鸽巢公园	bai ge chao gong yuan	3
百乐眠胶囊	bai le mian jiao nang	3
百令胶囊	bai ling jiao nang	5
百会	bai hui	8
百会穴	bai hui xue	1
百分等级	bai fen deng ji	1
百劳	bai lao	2
百合固金丸	bai he gu jin wan	3
百合固金汤	bai he gu jin tang	4
百咳静糖浆	bai ke jing tang jiang	2
百多邦	bai duo bang	7
百年乐	bai nian le	3
百日咳杆菌	bai ri ke gan jun	5
百日咳菌苗	bai ri ke jun miao	3
百服宁	bai fu ning	8
百消丹	bai xiao dan	3
百病不生	bai bing bu sheng	6
百癣夏塔热片	bai xuan xia ta re pian	3
百癣夏塔热胶囊	bai xuan xia ta re jiao nang	2
百白破	bai bai po	3
百白破三联疫苗	bai bai po san lian yi miao	2
百白破疫苗	bai bai po yi miao	18
百白破联合疫苗	bai bai po lian he yi miao	3
百秋李醇	bai qiu li chun	2
百草霜	bai cao shuang	4
百蕊胶囊	bai rui jiao nang	2
百蕊草	bai rui cao	30
百虫窝	bai chong wo	2
皂刺	zao ci	5
皂化	zao hua	13
皂化值	zao hua zhi	1
皂苷	zao gan	18
皮下出血点	pi xia chu xue dian	5
皮下囊肿	pi xia nang zhong	4
皮下注射	pi xia zhu she	23
皮下结节	pi xia jie jie	4
皮下血肿	pi xia xue zhong	8
皮亚杰学派	pi ya jie xue pai	2
皮内注射	pi nei zhu she	2
皮内痣	pi nei zhi	5
皮库	pi ku	38
皮康王	pi kang wang	5
皮样囊肿	pi yang nang zhong	2
皮水	pi shui	6
皮炎平软膏	pi yan ping ruan gao	4
皮炎平霜	pi yan ping shuang	4
皮炎洗剂	pi yan xi ji	3
皮炎芽生菌	pi yan ya sheng jun	5
皮特克恩岛	pi te ke en dao	2
皮瓣	pi ban	6
皮瓣移植	pi ban yi zhi	3
皮瓣移植术	pi ban yi zhi shu	5
皮痛	pi tong	2
皮痹	pi bi	2
皮癣	pi xuan	49
皮管	pi guan	4
皮纹	pi wen	3
皮纹学	pi wen xue	1
皮肌炎	pi ji yan	22
皮肤免疫系统	pi fu mian yi xi tong	2
皮肤再生不良	pi fu zai sheng bu liang	2
皮肤出血点	pi fu chu xue dian	5
皮肤划痕症	pi fu hua hen zheng	4
皮肤原位癌	pi fu yuan wei ai	2
皮肤性病学	pi fu xing bing xue	2
皮肤感染	pi fu gan ran	9
皮肤松垂	pi fu song chui	4
皮肤松弛症	pi fu song chi zheng	5
皮肤淋巴细胞瘤	pi fu lin ba xi bao liu	2
皮肤溃疡	pi fu kui yang	14
皮肤炭疽	pi fu tan ju	3
皮肤疣	pi fu you	1
皮肤病学	pi fu bing xue	8
皮肤病血毒丸	pi fu bing xue du wan	4
皮肤癌	pi fu ai	34
皮肤癣菌病	pi fu xuan jun bing	3
皮肤真菌病	pi fu zhen jun bing	1
皮肤磨削术	pi fu mo xiao shu	4
皮肤科用药	pi fu ke yong yao	5
皮肤移植	pi fu yi zhi	9
皮肤移植术	pi fu yi zhi shu	4
皮肤粘膜	pi fu zhan mo	2
皮肤纤维瘤	pi fu xian wei liu	1
皮肤结核	pi fu jie he	4
皮肤肿瘤	pi fu zhong liu	4
皮肤色素	pi fu se su	7
皮肤色素沉着	pi fu se su chen zhuo	7
皮肤萎缩	pi fu wei suo	3
皮肤蝇蛆病	pi fu ying qu bing	3
皮肤行为症	pi fu xing wei zheng	2
皮肤附属器	pi fu fu shu qi	2
皮肤黏膜	pi fu nian mo	9
皮肤黑热病	pi fu hei re bing	3
皮脂缺乏症	pi zhi que fa zheng	2
皮脂腺	pi zhi xian	14
皮脂腺囊肿	pi zhi xian nang zhong	5
皮脂腺增生	pi zhi xian zeng sheng	1
皮脂腺痣	pi zhi xian zhi	5
皮脂腺癌	pi zhi xian ai	3
皮角	pi jiao	5
皮质性白内障	pi zhi xing bai nei zhang	3
皮质激素	pi zhi ji su	6
皮质盲	pi zhi mang	4
皮质素	pi zhi su	14
皮革样化	pi ge yang hua	4
皮革胃	pi ge wei	4
皱缩	zhou suo	9
皱襞	zhou bi	10
盂肱关节	yu gong guan jie	2
盂肱韧带	yu gong ren dai	3
盆炎净片	pen yan jing pian	2
盆炎净胶囊	pen yan jing jiao nang	7
盆炎净颗粒	pen yan jing ke li	2
盆腔囊肿	pen qiang nang zhong	9
盆腔脓肿	pen qiang nong zhong	6
益元散	yi yuan san	3
益坤宁颗粒	yi kun ning ke li	2
益寿大补酒	yi shou da bu jiu	2
益寿宁	yi shou ning	2
益心舒片	yi xin shu pian	2
益心舒胶囊	yi xin shu jiao nang	3
益心酮分散片	yi xin tong fen san pian	2
益心酮片	yi xin tong pian	2
益智仁	yi zhi ren	7
益智康脑丸	yi zhi kang nao wan	4
益智温肾十味丸	yi zhi wen shen shi wei wan	4
益母草冲剂	yi mu cao chong ji	3
益母草流浸膏	yi mu cao liu jin gao	3
益母草片	yi mu cao pian	3
益母草碱	yi mu cao jian	3
益母草胶囊	yi mu cao jiao nang	3
益母草膏	yi mu cao gao	4
益母草软胶囊	yi mu cao ruan jiao nang	3
益母草颗粒	yi mu cao ke li	5
益气健脾	yi qi jian pi	8
益气养血口服液	yi qi yang xue kou fu ye	4
益气安神	yi qi an shen	6
益气活血	yi qi huo xue	1
益气消渴颗粒	yi qi xiao ke ke li	4
益气润肠膏	yi qi run chang gao	2
益气生津	yi qi sheng jin	1
益气聪明丸	yi qi cong ming wan	8
益气聪明汤	yi qi cong ming tang	5
益津降糖胶囊	yi jin jiang tang jiao nang	3
益肝明目口服液	yi gan ming mu kou fu ye	4
益肝解毒	yi gan jie du	3
益肝解毒茶	yi gan jie du cha	4
益肾健骨片	yi shen jian gu pian	3
益肾十七味丸	yi shen shi qi wei wan	3
益肾壮阳膏	yi shen zhuang yang gao	4
益肾安神口服液	yi shen an shen kou fu ye	3
益肾强身丸	yi shen qiang shen wan	3
益肾糖浆	yi shen tang jiang	2
益肾蠲痹丸	yi shen juan bi wan	3
益脉康胶囊	yi mai kang jiao nang	3
益脑复健胶囊	yi nao fu jian jiao nang	3
益脑胶囊	yi nao jiao nang	3
益血生胶囊	yi xue sheng jiao nang	2
益身灵丸	yi shen ling wan	4
盐卤中毒	yan lu zhong du	2
盐土	yan tu	5
盐水浴	yan shui yu	4
盐皮质激素	yan pi zhi ji su	20
盐酸丁丙诺啡	yan suan ding bing nuo fei	3
盐酸丁咯地尔	yan suan ding luo di er	2
盐酸万古霉素	yan suan wan gu mei su	2
盐酸丙美卡因滴眼液	yan suan bing mei ka yin di yan ye	2
盐酸乙胺丁醇	yan suan yi an ding chun	3
盐酸二氢埃托啡	yan suan er qing ai tuo fei	5
盐酸二氢埃托啡片	yan suan er qing ai tuo fei pian	2
盐酸二氢埃托啡舌下片	yan suan er qing ai tuo fei she xia pian	3
盐酸二氧丙嗪	yan suan er yang bing qin	2
盐酸二甲双胍	yan suan er jia shuang gua	7
盐酸二甲双胍片	yan suan er jia shuang gua pian	5
盐酸二甲双胍缓释片	yan suan er jia shuang gua huan shi pian	3
盐酸二甲双胍肠溶片	yan suan er jia shuang gua chang rong pian	2
盐酸伊托必利	yan suan yi tuo bi li	3
盐酸伊立替康	yan suan yi li ti kang	2
盐酸伊立替康注射液	yan suan yi li ti kang zhu she ye	2
盐酸伐地那非	yan suan fa di na fei	3
盐酸伪麻黄碱	yan suan wei ma huang jian	1
盐酸克仑特罗	yan suan ke lun te luo	9
盐酸克仑特罗栓	yan suan ke lun te luo shuan	3
盐酸克仑特罗气雾剂	yan suan ke lun te luo qi wu ji	2
盐酸克仑特罗片	yan suan ke lun te luo pian	4
盐酸克林霉素	yan suan ke lin mei su	4
盐酸克林霉素棕榈酸酯	yan suan ke lin mei su zong lv suan zhi	2
盐酸克林霉素胶囊	yan suan ke lin mei su jiao nang	3
盐酸利多卡因注射液	yan suan li duo ka yin zhu she ye	4
盐酸利托君片	yan suan li tuo jun pian	3
盐酸去氧肾上腺素	yan suan qu yang shen shang xian su	3
盐酸去甲万古霉素	yan suan qu jia wan gu mei su	2
盐酸可乐定	yan suan ke le ding	5
盐酸吖啶黄	yan suan a ding huang	4
盐酸吗啉胍片	yan suan ma lin gua pian	7
盐酸吗啡注射液	yan suan ma fei zhu she ye	3
盐酸吗啡片	yan suan ma fei pian	4
盐酸吡格列酮	yan suan bi ge lie tong	4
盐酸吡格列酮片	yan suan bi ge lie tong pian	2
盐酸吡硫醇注射液	yan suan bi liu chun zhu she ye	2
盐酸哌替啶	yan suan pai ti ding	3
盐酸哌替啶片	yan suan pai ti ding pian	2
盐酸哌甲酯	yan suan pai jia zhi	4
盐酸噻氯匹定	yan suan sai lv pi ding	2
盐酸四咪唑	yan suan si mi zuo	2
盐酸四环素	yan suan si huan su	5
盐酸四环素胶囊	yan suan si huan su jiao nang	2
盐酸地芬尼多片	yan suan di fen ni duo pian	3
盐酸多塞平	yan suan duo sai ping	3
盐酸多塞平乳膏	yan suan duo sai ping ru gao	2
盐酸多塞平片	yan suan duo sai ping pian	3
盐酸多奈哌齐	yan suan duo nai pai qi	3
盐酸多奈哌齐片	yan suan duo nai pai qi pian	3
盐酸多巴胺	yan suan duo ba an	5
盐酸多巴胺注射液	yan suan duo ba an zhu she ye	4
盐酸多巴酚丁胺注射液	yan suan duo ba fen ding an zhu she ye	2
盐酸多西环素	yan suan duo xi huan su	4
盐酸头孢他美	yan suan tou bao ta mei	2
盐酸头孢他美酯	yan suan tou bao ta mei zhi	2
盐酸头孢甲肟	yan suan tou bao jia wo	3
盐酸奈福泮注射液	yan suan nai fu pan zhu she ye	6
盐酸奈福泮片	yan suan nai fu pan pian	4
盐酸安非他酮	yan suan an fei ta tong	3
盐酸安非他酮缓释片	yan suan an fei ta tong huan shi pian	3
盐酸小檗碱	yan suan xiao bo jian	5
盐酸小檗碱片	yan suan xiao bo jian pian	4
盐酸尼卡地平缓释胶囊	yan suan ni ka di ping huan shi jiao nang	2
盐酸山莨菪碱	yan suan shan lang dang jian	2
盐酸川芎嗪	yan suan chuan xiong qin	3
盐酸左旋咪唑	yan suan zuo xuan mi zuo	4
盐酸左旋咪唑宝塔糖	yan suan zuo xuan mi zuo bao ta tang	3
盐酸左旋咪唑片	yan suan zuo xuan mi zuo pian	3
盐酸左氧氟沙星	yan suan zuo yang fu sha xing	5
盐酸左氧氟沙星注射液	yan suan zuo yang fu sha xing zhu she ye	2
盐酸左氧氟沙星滴眼液	yan suan zuo yang fu sha xing di yan ye	2
盐酸左氧氟沙星片	yan suan zuo yang fu sha xing pian	5
盐酸左氧氟沙星胶囊	yan suan zuo yang fu sha xing jiao nang	5
盐酸左西替利嗪片	yan suan zuo xi ti li qin pian	2
盐酸左西替利嗪胶囊	yan suan zuo xi ti li qin jiao nang	2
盐酸巴马汀	yan suan ba ma ting	2
盐酸布桂嗪	yan suan bu gui qin	2
盐酸帕罗西汀片	yan suan pa luo xi ting pian	3
盐酸度洛西汀	yan suan du luo xi ting	3
盐酸异丙嗪	yan suan yi bing qin	6
盐酸异丙嗪注射液	yan suan yi bing qin zhu she ye	3
盐酸异丙嗪片	yan suan yi bing qin pian	2
盐酸托哌酮	yan suan tuo pai tong	2
盐酸托烷司琼	yan suan tuo wan si qiong	2
盐酸托烷司琼注射液	yan suan tuo wan si qiong zhu she ye	2
盐酸拓扑替康	yan suan tuo pu ti kang	2
盐酸文拉法辛缓释胶囊	yan suan wen la fa xin huan shi jiao nang	2
盐酸昂丹司琼注射液	yan suan ang dan si qiong zhu she ye	3
盐酸普罗帕酮片	yan suan pu luo pa tong pian	2
盐酸普萘洛尔片	yan suan pu nai luo er pian	3
盐酸普鲁卡因	yan suan pu lu ka yin	4
盐酸曲美他嗪	yan suan qu mei ta qin	5
盐酸曲美他嗪片	yan suan qu mei ta qin pian	4
盐酸曲马多注射液	yan suan qu ma duo zhu she ye	4
盐酸曲马多片	yan suan qu ma duo pian	7
盐酸曲马多缓释片	yan suan qu ma duo huan shi pian	2
盐酸替罗非班	yan suan ti luo fei ban	3
盐酸林可霉素	yan suan lin ke mei su	6
盐酸林可霉素注射液	yan suan lin ke mei su zhu she ye	3
盐酸柔红霉素	yan suan rou hong mei su	2
盐酸氟哌噻吨	yan suan fu pai sai dun	4
盐酸氟桂利嗪胶囊	yan suan fu gui li qin jiao nang	3
盐酸氟西汀	yan suan fu xi ting	3
盐酸氨基葡萄糖	yan suan an ji pu tao tang	3
盐酸氨基葡萄糖片	yan suan an ji pu tao tang pian	2
盐酸氨基葡萄糖胶囊	yan suan an ji pu tao tang jiao nang	3
盐酸氨溴索	yan suan an xiu suo	5
盐酸氨溴索口服溶液	yan suan an xiu suo kou fu rong ye	3
盐酸氨溴索注射液	yan suan an xiu suo zhu she ye	3
盐酸氨溴索片	yan suan an xiu suo pian	4
盐酸氨溴索糖浆	yan suan an xiu suo tang jiang	2
盐酸氯丙嗪	yan suan lv bing qin	3
盐酸氯丙那林	yan suan lv bing na lin	6
盐酸氯胺酮	yan suan lv an tong	1
盐酸氯胺酮注射液	yan suan lv an tong zhu she ye	3
盐酸沙格雷酯	yan suan sha ge lei zhi	2
盐酸沙格雷酯片	yan suan sha ge lei zhi pian	2
盐酸法舒地尔	yan suan fa shu di er	2
盐酸洛美沙星	yan suan luo mei sha xing	2
盐酸洛美沙星滴眼液	yan suan luo mei sha xing di yan ye	2
盐酸洛美沙星片	yan suan luo mei sha xing pian	3
盐酸洛美沙星胶囊	yan suan luo mei sha xing jiao nang	3
盐酸洛贝林注射液	yan suan luo bei lin zhu she ye	3
盐酸溴己新	yan suan xiu ji xin	4
盐酸溴己新注射液	yan suan xiu ji xin zhu she ye	3
盐酸溴己新片	yan suan xiu ji xin pian	3
盐酸特拉唑嗪	yan suan te la zuo qin	2
盐酸特拉唑嗪片	yan suan te la zuo qin pian	2
盐酸特比萘芬乳膏	yan suan te bi nai fen ru gao	2
盐酸环丙沙星	yan suan huan bing sha xing	2
盐酸环丙沙星片	yan suan huan bing sha xing pian	2
盐酸环丙沙星胶囊	yan suan huan bing sha xing jiao nang	2
盐酸甲氧氯普胺	yan suan jia yang lv pu an	3
盐酸硫胺	yan suan liu an	2
盐酸米诺环素胶囊	yan suan mi nuo huan su jiao nang	3
盐酸纳曲酮	yan suan na qu tong	3
盐酸纳洛酮	yan suan na luo tong	3
盐酸纳洛酮舌下片	yan suan na luo tong she xia pian	2
盐酸组氨酸	yan suan zu an suan	2
盐酸维拉帕米片	yan suan wei la pa mi pian	2
盐酸罂粟碱	yan suan ying su jian	2
盐酸罂粟碱注射液	yan suan ying su jian zhu she ye	2
盐酸罗哌卡因注射液	yan suan luo pai ka yin zhu she ye	3
盐酸罗沙替丁醋酸酯	yan suan luo sha ti ding cu suan zhi	2
盐酸美他环素	yan suan mei ta huan su	2
盐酸美他环素片	yan suan mei ta huan su pian	3
盐酸美利曲辛	yan suan mei li qu xin	4
盐酸美金刚	yan suan mei jin gang	3
盐酸肾上腺素	yan suan shen shang xian su	6
盐酸肾上腺素注射液	yan suan shen shang xian su zhu she ye	6
盐酸胺碘酮	yan suan an dian tong	3
盐酸胺碘酮注射液	yan suan an dian tong zhu she ye	2
盐酸胺碘酮胶囊	yan suan an dian tong jiao nang	2
盐酸芬氟拉明	yan suan fen fu la ming	4
盐酸苯乙双胍	yan suan ben yi shuang gua	6
盐酸苯海拉明	yan suan ben hai la ming	4
盐酸苯海拉明注射液	yan suan ben hai la ming zhu she ye	2
盐酸苯海拉明片	yan suan ben hai la ming pian	2
盐酸苯海索	yan suan ben hai suo	3
盐酸苯海索片	yan suan ben hai suo pian	3
盐酸苯环壬酯片	yan suan ben huan ren zhi pian	4
盐酸萘替芬乳膏	yan suan nai ti fen ru gao	2
盐酸萘替芬溶液	yan suan nai ti fen rong ye	2
盐酸萘甲唑啉	yan suan nai jia zuo lin	2
盐酸萘甲唑啉滴鼻液	yan suan nai jia zuo lin di bi ye	2
盐酸萘甲唑林	yan suan nai jia zuo lin	2
盐酸表柔比星	yan suan biao rou bi xing	2
盐酸西布曲明	yan suan xi bu qu ming	7
盐酸西布曲明片	yan suan xi bu qu ming pian	2
盐酸西布曲明胶囊	yan suan xi bu qu ming jiao nang	4
盐酸西替利嗪	yan suan xi ti li qin	3
盐酸西替利嗪滴剂	yan suan xi ti li qin di ji	2
盐酸西替利嗪片	yan suan xi ti li qin pian	2
盐酸贝尼地平	yan suan bei ni di ping	2
盐酸贝那普利	yan suan bei na pu li	2
盐酸贝那普利片	yan suan bei na pu li pian	4
盐酸赖氨酸	yan suan lai an suan	3
盐酸赛庚啶	yan suan sai geng ding	2
盐酸达克罗宁胶浆	yan suan da ke luo ning jiao jiang	3
盐酸金刚烷胺片	yan suan jin gang wan an pian	2
盐酸金霉素	yan suan jin mei su	4
盐酸金霉素眼膏	yan suan jin mei su yan gao	5
盐酸金霉素软膏	yan suan jin mei su ruan gao	2
盐酸阿比朵尔	yan suan a bi duo er	1
盐酸阿比朵尔胶囊	yan suan a bi duo er jiao nang	2
盐酸阿米替林	yan suan a mi ti lin	2
盐酸阿莫地喹片	yan suan a mo di kui pian	2
盐酸阿莫罗芬搽剂	yan suan a mo luo fen cha ji	2
盐酸阿霉素	yan suan a mei su	2
盐酸雷尼替丁	yan suan lei ni ti ding	2
盐酸雷尼替丁片	yan suan lei ni ti ding pian	2
盐酸雷尼替丁胶囊	yan suan lei ni ti ding jiao nang	5
盐酸青藤碱	yan suan qing teng jian	2
盐酸麻黄碱	yan suan ma huang jian	1
盐酸麻黄碱滴鼻液	yan suan ma huang jian di bi ye	4
盐酸黄连素片	yan suan huang lian su pian	3
盖天力	gai tian li	3
盘尾丝虫病	pan wei si chong bing	4
盘状红斑狼疮	pan zhuang hong ban lang chuang	1
盘龙七片	pan long qi pian	2
盛寅	sheng yin	4
目病	mu bing	1
目的论	mu di lun	26
直接死因	zhi jie si yin	1
直接胆红素	zhi jie dan hong su	1
直疝	zhi shan	5
直线回归	zhi xian hui gui	2
直线相关	zhi xian xiang guan	3
直肠前突	zhi chang qian tu	4
直肠指检	zhi chang zhi jian	6
直肠损伤	zhi chang sun shang	5
直肠溃疡	zhi chang kui yang	4
直肠炎	zhi chang yan	3
直肠类癌	zhi chang lei ai	1
直肠粘膜脱垂	zhi chang zhan mo tuo chui	4
直肠给药	zhi chang gei yao	5
直肠脱垂	zhi chang tuo chui	7
直肠腺	zhi chang xian	3
直肠膨出	zhi chang peng chu	3
直肠闭锁	zhi chang bi suo	3
直肠阴道瘘	zhi chang yin dao lou	1
直肠阴道瘘修补术	zhi chang yin dao lou xiu bu shu	2
直链淀粉	zhi lian dian fen	4
相互交叉	xiang hu jiao cha	16
相互易位	xiang hu yi wei	5
相似系数	xiang si xi shu	2
相关学科基础	xiang guan xue ke ji chu	5
相变制冷	xiang bian zhi leng	2
相对不应期	xiang dui bu ying qi	3
相对数	xiang dui shu	9
相对缓脉	xiang dui huan mai	4
相对误差	xiang dui wu cha	2
相差显微镜	xiang cha xian wei jing	4
相思子	xiang si zi	6
相火妄动	xiang huo wang dong	4
盾片	dun pian	16
眉冲	mei chong	2
眉弓	mei gong	1
眉提升术	mei ti sheng shu	3
眉棱骨痛	mei leng gu tong	4
眉毛移植	mei mao yi zhi	4
真寒假热	zhen han jia re	3
真性动脉瘤	zhen xing dong mai liu	3
真性尿失禁	zhen xing niao shi jin	4
真性红细胞增多症	zhen xing hong xi bao zeng duo zheng	7
真果	zhen guo	7
真核细胞	zhen he xi bao	40
真武汤	zhen wu tang	3
真溶液	zhen rong ye	3
真热假寒	zhen re jia han	2
真空吸引器	zhen kong xi yin qi	10
真空干燥	zhen kong gan zao	14
真菌孢子	zhen jun bao zi	13
真菌学	zhen jun xue	40
真菌性脑膜炎	zhen jun xing nao mo yan	1
真菌性角膜炎	zhen jun xing jiao mo yan	2
真菌性鼻窦炎	zhen jun xing bi dou yan	3
真菌感染	zhen jun gan ran	41
真菌病	zhen jun bing	8
真菌败血症	zhen jun bai xue zheng	2
眠安宁口服液	mian an ning kou fu ye	3
眠尔通	mian er tong	3
眨眼反射	zha yan fan she	5
眩晕停	xuan yun ting	4
眩晕病	xuan yun bing	5
眶下孔	kuang xia kong	3
眶下间隙感染	kuang xia jian xi gan ran	2
眶底骨折	kuang di gu zhe	2
眶蜂窝织炎	kuang feng wo zhi yan	3
眶骨骨折	kuang gu gu zhe	4
眼内炎	yan nei yan	1
眼压检查	yan ya jian cha	6
眼外伤	yan wai shang	2
眼底出血	yan di chu xue	1
眼底动脉硬化	yan di dong mai ying hua	6
眼烧伤	yan shao shang	2
眼球内陷	yan qiu nei xian	3
眼球破裂	yan qiu po lie	7
眼球穿孔伤	yan qiu chuan kong shang	3
眼球穿通伤	yan qiu chuan tong shang	6
眼球突出	yan qiu tu chu	8
眼球钝挫伤	yan qiu dun cuo shang	7
眼球震颤	yan qiu zhen chan	10
眼电图	yan dian tu	3
眼疲劳	yan pi lao	2
眼病学	yan bing xue	2
眼眶外伤	yan kuang wai shang	4
眼眶疾病	yan kuang ji bing	3
眼眶肿瘤	yan kuang zhong liu	6
眼睑外伤	yan jian wai shang	2
眼睑外翻矫正术	yan jian wai fan jiao zheng shu	2
眼睑成形术	yan jian cheng xing shu	4
眼睑挫伤	yan jian cuo shang	5
眼睑整形术	yan jian zheng xing shu	2
眼睑水肿	yan jian shui zhong	2
眼睑湿疹	yan jian shi zhen	1
眼睑炎	yan jian yan	5
眼睑痉挛	yan jian jing luan	1
眼睑肿瘤	yan jian zhong liu	3
眼睑脓肿	yan jian nong zhong	2
眼睑闭合不全	yan jian bi he bu quan	6
眼科学	yan ke xue	23
眼科学基础	yan ke xue ji chu	2
眼结膜	yan jie mo	4
眼缺血综合征	yan que xue zong he zheng	2
眼药水	yan yao shui	34
眼虫病	yan chong bing	4
眼袋整形术	yan dai zheng xing shu	3
眼裂	yan lie	3
眼轮匝肌	yan lun za ji	2
眼部带状疱疹	yan bu dai zhuang pao zhen	2
眼镜学	yan jing xue	3
眼震	yan zhen	4
眼震电图	yan zhen dian tu	3
眼震颤	yan zhen chan	2
着丝粒	zhuo si li	5
着色性干皮病	zhuo se xing gan pi bing	2
着色真菌病	zhuo se zhen jun bing	5
睑下垂	jian xia chui	8
睑内翻	jian nei fan	6
睑内翻矫正术	jian nei fan jiao zheng shu	2
睑外翻	jian wai fan	4
睑板	jian ban	2
睑板腺	jian ban xian	7
睑球粘连	jian qiu zhan lian	4
睑结膜	jian jie mo	9
睑缘炎	jian yuan yan	5
睑腺炎	jian xian yan	5
睑裂	jian lie	6
睑裂斑	jian lie ban	3
睑黄瘤	jian huang liu	3
睛明	jing ming	6
