# 青简领域词库：医学，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
乙酰螺旋霉素片	yi xian luo xuan mei su pian	4
乙酰谷酰胺	yi xian gu xian an	2
乙酰麦迪霉素	yi xian mai di mei su	3
乙醇中毒	yi chun zhong du	2
乙醇溶液	yi chun rong ye	31
九制大黄丸	jiu zhi da huang wan	3
九华痔疮栓	jiu hua zhi chuang shuan	2
九华膏	jiu hua gao	3
九卷	jiu juan	34
九味健肾胶囊	jiu wei jian shen jiao nang	3
九味双解口服液	jiu wei shuang jie kou fu ye	3
九味沉香胶囊	jiu wei chen xiang jiao nang	2
九味石灰华散	jiu wei shi hui hua san	2
九味羌活丸	jiu wei qiang huo wan	4
九味羌活汤	jiu wei qiang huo tang	3
九味羌活颗粒	jiu wei qiang huo ke li	3
九味肝泰胶囊	jiu wei gan tai jiao nang	3
九节菖蒲	jiu jie chang pu	3
九里香	jiu li xiang	15
习惯性流产	xi guan xing liu chan	4
习惯性脱位	xi guan xing tuo wei	4
乡村医生	xiang cun yi sheng	10
乡镇卫生院	xiang zhen wei sheng yuan	7
买麻藤	mai ma teng	40
乳中	ru zhong	10
乳中穴	ru zhong xue	3
乳头内陷	ru tou nei xian	1
乳头溢液	ru tou yi ye	1
乳头状囊腺癌	ru tou zhuang nang xian ai	2
乳头状瘤	ru tou zhuang liu	10
乳头状腺瘤	ru tou zhuang xian liu	2
乳头瘤病毒	ru tou liu bing du	6
乳宁片	ru ning pian	2
乳宁胶囊	ru ning jiao nang	2
乳宁颗粒	ru ning ke li	2
乳房下垂	ru fang xia chui	8
乳房假体	ru fang jia ti	2
乳房再造术	ru fang zai zao shu	4
乳房发育不良	ru fang fa yu bu liang	3
乳房悬韧带	ru fang xuan ren dai	4
乳房湿疹	ru fang shi zhen	4
乳房肿块	ru fang zhong kuai	8
乳房良性肿瘤	ru fang liang xing zhong liu	5
乳果糖	ru guo tang	3
乳果糖口服溶液	ru guo tang kou fu rong ye	2
乳核内消片	ru he nei xiao pian	2
乳核散结片	ru he san jie pian	2
乳根	ru gen	5
