# 青简领域词库：IT 与计算机，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
查找树	cha zhao shu	1
查找算法	cha zhao suan fa	3
查找记录	cha zhao ji lu	10
查漏补缺	cha lou bu que	28
查看源代码	cha kan yuan dai ma	13
查看源码	cha kan yuan ma	13
查表法	cha biao fa	2
查询优化	cha xun you hua	12
查询关键字	cha xun guan jian zi	10
查询分析器	cha xun fen xi qi	11
查询变量	cha xun bian liang	9
查询子句	cha xun zi ju	9
查询接口	cha xun jie kou	1
查询模式	cha xun mo shi	10
查询缓存	cha xun huan cun	13
查询表达式	cha xun biao da shi	1
查询语句	cha xun yu ju	15
查询语言	cha xun yu yan	26
柱状图	zhu zhuang tu	5
柱面	zhu mian	32
柱面坐标	zhu mian zuo biao	5
栅格	shan ge	22
栅格数据	shan ge shu ju	8
栅格系统	shan ge xi tong	8
标准中断	biao zhun zhong duan	6
标准单元	biao zhun dan yuan	6
标准处理方式	biao zhun chu li fang shi	5
标准对象	biao zhun dui xiang	10
标准工具栏	biao zhun gong ju lan	8
标准库函数	biao zhun ku han shu	3
标准文件	biao zhun wen jian	7
标准模板库	biao zhun mo ban ku	13
标准程序库	biao zhun cheng xu ku	3
标准规范	biao zhun gui fan	31
标准语言	biao zhun yu yan	10
标准输入	biao zhun shu ru	14
标准输入文件	biao zhun shu ru wen jian	9
标准输入流	biao zhun shu ru liu	12
标准输出	biao zhun shu chu	20
标准输出文件	biao zhun shu chu wen jian	9
标准输出流	biao zhun shu chu liu	12
标准错误流	biao zhun cuo wu liu	10
标志序列	biao zhi xu lie	6
标志符	biao zhi fu	10
标志符号	biao zhi fu hao	2
标签云	biao qian yun	9
标签分组	biao qian fen zu	6
标签名	biao qian ming	3
标签宽度	biao qian kuan du	8
标签属性	biao qian shu xing	2
标签库	biao qian ku	13
标签栏	biao qian lan	12
标签样式	biao qian yang shi	10
标签跳转	biao qian tiao zhuan	7
标签集	biao qian ji	2
标签页	biao qian ye	15
标绘	biao hui	6
标记变量	biao ji bian liang	11
标记类型	biao ji lei xing	9
标识变量	biao zhi bian liang	10
标识鉴别	biao zhi jian bie	7
标量处理器	biao liang chu li qi	3
标题按钮	biao ti an niu	8
标题栏	biao ti lan	18
栈与队列	zhan yu dui lie	9
栈元素	zhan yuan su	11
栈内存	zhan nei cun	1
栈内容	zhan nei rong	1
栈单元	zhan dan yuan	7
栈和队列	zhan he dui lie	1
栈地址	zhan di zhi	10
栈容量	zhan rong liang	9
栈展开	zhan zhan kai	8
栈指针	zhan zhi zhen	12
栈控制	zhan kong zhi	5
栈机制	zhan ji zhi	7
栈溢出	zhan yi chu	3
栈算法	zhan suan fa	4
树上倍增	shu shang bei zeng	8
树上最长链	shu shang zui chang lian	6
树上莫队	shu shang mo dui	8
树分块	shu fen kuai	7
树分治	shu fen zhi	9
树剖	shu pou	10
树型动态规划	shu xing dong tai gui hua	9
树套树	shu tao shu	10
树形动态规划	shu xing dong tai gui hua	8
树形动规	shu xing dong gui	6
树形控件	shu xing kong jian	10
树形数组	shu xing shu zu	5
树形结构	shu xing jie gou	4
树形背包	shu xing bei bao	8
树形菜单	shu xing cai dan	2
树状图	shu zhuang tu	22
树状数组	shu zhuang shu zu	14
树结构	shu jie gou	7
树网	shu wang	7
树遍历	shu bian li	10
树链刨分	shu lian pao fen	6
树链剖分	shu lian pou fen	12
校正信号	jiao zheng xin hao	2
校验器	jiao yan qi	11
校验状态	jiao yan zhuang tai	7
校验码	jiao yan ma	27
样式属性	yang shi shu xing	12
样式表	yang shi biao	15
样本分布	yang ben fen bu	2
样本区间	yang ben qu jian	6
样本协方差	yang ben xie fang cha	1
样本均值	yang ben jun zhi	21
样本矩	yang ben ju	1
样本空间	yang ben kong jian	12
样本集	yang ben ji	8
样条	yang tiao	9
样条拟合	yang tiao ni he	6
样条曲线	yang tiao qu xian	10
样条曲面	yang tiao qu mian	6
核函数	he han shu	26
核密度估计	he mi du gu ji	2
核心动画	he xin dong hua	5
核心板	he xin ban	2
核心系统	he xin xi tong	18
核心编程	he xin bian cheng	12
核心语法	he xin yu fa	8
根文件夹	gen wen jian jia	1
根文件系统	gen wen jian xi tong	9
根目录	gen mu lu	15
根轨迹	gen gui ji	35
格式化字符串	ge shi hua zi fu chuan	1
格式化数据	ge shi hua shu ju	9
格式化日期	ge shi hua ri qi	10
格式化时间	ge shi hua shi jian	10
格式化输出	ge shi hua shu chu	4
格式控制	ge shi kong zhi	3
格式结构	ge shi jie gou	3
格式转换	ge shi zhuan huan	6
格式输出	ge shi shu chu	1
框图	kuang tu	8
框架使用	kuang jia shi yong	7
框架应用	kuang jia ying yong	3
框架开发	kuang jia kai fa	2
框架推荐	kuang jia tui jian	7
框架搭建	kuang jia da jian	11
框架整合	kuang jia zheng he	1
框架模式	kuang jia mo shi	1
框架理解	kuang jia li jie	1
框架理论	kuang jia li lun	4
框架研究	kuang jia yan jiu	7
框架解析	kuang jia jie xi	8
框架讲解	kuang jia jiang jie	5
框架设计	kuang jia she ji	3
框架语法	kuang jia yu fa	5
案例研究	an li yan jiu	36
桌面图标	zhuo mian tu biao	31
桌面处理器	zhuo mian chu li qi	8
桌面应用	zhuo mian ying yong	13
桌面快捷方式	zhuo mian kuai jie fang shi	11
桌面操作系统	zhuo mian cao zuo xi tong	9
桌面检查	zhuo mian jian cha	7
桌面系统	zhuo mian xi tong	5
桌面虚拟化	zhuo mian xu ni hua	4
桌面计算机	zhuo mian ji suan ji	6
档案文件	dang an wen jian	10
桥接模式	qiao jie mo shi	1
桥梁模式	qiao liang mo shi	11
桶形失真	tong xing shi zhen	5
桶排序	tong pai xu	16
梦幻西游	meng huan xi you	2
梯度下降	ti du xia jiang	15
梯度下降法	ti du xia jiang fa	16
梯度下降算法	ti du xia jiang suan fa	1
梳排序	shu pai xu	7
检查更新	jian cha geng xin	23
检查程序	jian cha cheng xu	8
检查链接	jian cha lian jie	8
检索技术	jian suo ji shu	1
检索机制	jian suo ji zhi	7
检索树	jian suo shu	10
检索空间	jian suo kong jian	5
检错	jian cuo	6
检错码	jian cuo ma	8
检验位	jian yan wei	7
检验器	jian yan qi	2
检验序列	jian yan xu lie	6
检验步骤	jian yan bu zhou	7
检验码	jian yan ma	1
检验程序	jian yan cheng xu	4
检验计算	jian yan ji suan	1
棋牌游戏	qi pai you xi	9
棋盘游戏	qi pan you xi	34
棋盘覆盖	qi pan fu gai	9
棋盘问题	qi pan wen ti	3
概念依赖	gai nian yi lai	5
概念分析	gai nian fen xi	2
概念分类	gai nian fen lei	5
概念数据模型	gai nian shu ju mo xing	2
概念术语	gai nian shu yu	1
概念模型	gai nian mo xing	37
概念模式	gai nian mo shi	5
概念理解	gai nian li jie	6
概率传播	gai lv chuan bo	5
概率函数	gai lv han shu	2
概率分析	gai lv fen xi	2
概率图模型	gai lv tu mo xing	2
概率密度	gai lv mi du	4
概率密度函数	gai lv mi du han shu	14
概率推理	gai lv tui li	9
概率期望	gai lv qi wang	7
概率模型	gai lv mo xing	8
概率测试	gai lv ce shi	4
概率算法	gai lv suan fa	1
概率系统	gai lv xi tong	5
概率统计	gai lv tong ji	22
概率题	gai lv ti	11
概要设计	gai yao she ji	12
槽号	cao hao	7
模具设计	mu ju she ji	13
模冗余	mo rong yu	5
模块分解	mo kuai fen jie	8
模块加载	mo kuai jia zai	13
模块化开发	mo kuai hua kai fa	11
模块化方法	mo kuai hua fang fa	8
模块化编程	mo kuai hua bian cheng	3
模块外	mo kuai wai	11
模块安装	mo kuai an zhuang	11
模块开发	mo kuai kai fa	1
模块性	mo kuai xing	29
模块测试	mo kuai ce shi	2
模块问题	mo kuai wen ti	7
模块驱动	mo kuai qu dong	9
模型变换	mo xing bian huan	10
模型库	mo xing ku	9
模型生成器	mo xing sheng cheng qi	6
模型简化	mo xing jian hua	8
模型表示	mo xing biao shi	4
模型视图	mo xing shi tu	11
模型论	mo xing lun	3
模型识别	mo xing shi bie	3
模型选择	mo xing xuan ze	13
模型驱动	mo xing qu dong	31
模型驱动方法	mo xing qu dong fang fa	5
模式分析	mo shi fen xi	2
模式分类	mo shi fen lei	2
模式匹配	mo shi pi pei	23
模式描述	mo shi miao shu	4
模式搜索	mo shi sou suo	5
模式概念	mo shi gai nian	2
模式设计	mo shi she ji	6
模式识别算法	mo shi shi bie suan fa	8
模态框	mo tai kuang	10
模态窗口	mo tai chuang kou	11
模态视图	mo tai shi tu	10
模态逻辑	mo tai luo ji	6
模拟按键	mo ni an jian	1
模拟点击	mo ni dian ji	10
模拟电子	mo ni dian zi	13
模拟电子技术	mo ni dian zi ji shu	1
模拟电路	mo ni dian lu	18
模拟登录	mo ni deng lu	11
模拟登陆	mo ni deng lu	1
模拟程序	mo ni cheng xu	7
模拟系统	mo ni xi tong	9
模拟视频	mo ni shi pin	6
模拟计算机	mo ni ji suan ji	5
模拟语言	mo ni yu yan	1
模拟输入	mo ni shu ru	3
模拟输出	mo ni shu chu	9
模拟过程	mo ni guo cheng	12
模拟退火	mo ni tui huo	3
模拟退火算法	mo ni tui huo suan fa	10
模拟键盘	mo ni jian pan	1
模拟鼠标	mo ni shu biao	1
模数转换	mo shu zhuan huan	10
模数转换器	mo shu zhuan huan qi	1
模板元	mo ban yuan	8
模板元编程	mo ban yuan bian cheng	1
模板函数	mo ban han shu	1
模板化控件	mo ban hua kong jian	5
模板匹配	mo ban pi pei	6
模板库	mo ban ku	1
模板引擎	mo ban yin qing	6
模板技术	mo ban ji shu	11
模板整理	mo ban zheng li	4
模板方法	mo ban fang fa	13
模板方法模式	mo ban fang fa mo shi	13
模板模式	mo ban mo shi	11
模板消息	mo ban xiao xi	8
模板算法	mo ban suan fa	7
模板类	mo ban lei	8
模板编程	mo ban bian cheng	10
模板节点	mo ban jie dian	6
模板集	mo ban ji	6
模板题	mo ban ti	13
模版引擎	mo ban yin qing	10
模版方法	mo ban fang fa	10
模版方法模式	mo ban fang fa mo shi	10
模版类	mo ban lei	10
模线性方程组	mo xian xing fang cheng zu	9
模运算	mo yun suan	4
横向扫描	heng xiang sao miao	1
横向滑动	heng xiang hua dong	11
横屏竖屏	heng ping shu ping	10
次密钥	ci mi yue	1
次小生成树	ci xiao sheng cheng shu	11
次短路	ci duan lu	9
欢乐动漫	huan le dong man	5
欢迎界面	huan ying jie mian	3
欧几里得算法	ou ji li de suan fa	21
欧几里德算法	ou ji li de suan fa	10
欧拉公式	ou la gong shi	13
欧拉回路	ou la hui lu	3
欧拉路径	ou la lu jing	2
欧拉通路	ou la tong lu	9
欧拉道路	ou la dao lu	8
欧氏距离	ou shi ju li	5
正交变换	zheng jiao bian huan	4
正交小波变换	zheng jiao xiao bo bian huan	5
正例	zheng li	5
正则匹配	zheng ze pi pei	13
正则序	zheng ze xu	6
正则形式	zheng ze xing shi	1
正则表达	zheng ze biao da	11
正则表达式	zheng ze biao da shi	28
正则语言	zheng ze yu yan	9
正则集	zheng ze ji	6
正向代理	zheng xiang dai li	1
正向传值	zheng xiang chuan zhi	6
正向推理	zheng xiang tui li	6
正常响应	zheng chang xiang ying	1
正式测试	zheng shi ce shi	5
正弦波	zheng xian bo	44
正态分布	zheng tai fen bu	41
正投影	zheng tou ying	3
正文编辑	zheng wen bian ji	5
正文编辑器	zheng wen bian ji qi	4
正易	zheng yi	1
正片叠加	zheng pian die jia	5
正版验证	zheng ban yan zheng	7
正益移动	zheng yi yi dong	6
正确性证明	zheng que xing zheng ming	9
正规文法	zheng gui wen fa	2
正规方程	zheng gui fang cheng	9
正闭包	zheng bi bao	6
正难则反	zheng nan ze fan	9
步进控制	bu jin kong zhi	5
步进电机	bu jin dian ji	5
歧义消解	qi yi xiao jie	7
死循环	si xun huan	7
死锁	si suo	20
死锁恢复	si suo hui fu	8
死锁检测	si suo jian ce	1
死锁消除	si suo xiao chu	5
死锁避免	si suo bi mian	9
死锁预防	si suo yu fang	8
残留数据	can liu shu ju	2
段地址	duan di zhi	12
段提交协议	duan ti jiao xie yi	3
段映射	duan ying she	9
段表地址	duan biao di zhi	6
段覆盖	duan fu gai	4
段锁	duan suo	9
段错误	duan cuo wu	2
段长度	duan chang du	12
母函数	mu han shu	9
母版页	mu ban ye	10
每日算法	mei ri suan fa	6
比例变换	bi li bian huan	9
比例带	bi li dai	5
比例控制	bi li kong zhi	17
比特币开发	bi te bi kai fa	5
比特精灵	bi te jing ling	5
比较器	bi jiao qi	21
比较运算符	bi jiao yun suan fu	3
毛玻璃效果	mao bo li xiao guo	2
毫秒级	hao miao ji	7
水平分片	shui ping fen pian	8
水平垂直居中	shui ping chui zhi ju zhong	10
水平集	shui ping ji	16
水晶报表	shui jing bao biao	9
永久故障	yong jiu gu zhang	6
永久虚电路	yong jiu xu dian lu	6
求余	qiu yu	4
求次方	qiu ci fang	6
求素数	qiu su shu	10
求职准备	qiu zhi zhun bei	6
求自然对数	qiu zi ran dui shu	6
求解策略	qiu jie ce lve	7
求逆序数	qiu ni xu shu	11
汇编指令	hui bian zhi ling	13
汇编程序	hui bian cheng xu	11
汇编编程	hui bian bian cheng	9
汉字交换码	han zi jiao huan ma	5
汉字代码	han zi dai ma	6
汉字信息处理	han zi xin xi chu li	6
汉字内码	han zi nei ma	9
汉字区位码	han zi qu wei ma	7
汉字编码	han zi bian ma	11
汉字识别	han zi shi bie	1
汉字输入	han zi shu ru	3
汉字输入码	han zi shu ru ma	5
汉字输出	han zi shu chu	7
汉字集	han zi ji	1
汉明码	han ming ma	6
汉明距离	han ming ju li	5
汉语分析	han yu fen xi	1
汉语自动分词	han yu zi dong fen ci	6
汉语语音识别	han yu yu yin shi bie	5
池化	chi hua	14
汽车电子	qi che dian zi	41
汽车行业	qi che hang ye	25
沉浸式状态栏	chen jin shi zhuang tai lan	1
沉浸感	chen jin gan	15
沙盒机制	sha he ji zhi	1
沙盒路径	sha he lu jing	10
泊松分布	bo song fen bu	5
泛化关系	fan hua guan xi	11
泛型	fan xing	16
泛型接口	fan xing jie kou	12
泛型方法	fan xing fang fa	12
泛型算法	fan xing suan fa	10
泛型类	fan xing lei	1
泛型类型	fan xing lei xing	13
泛型类型参数	fan xing lei xing can shu	9
泛型类型变量	fan xing lei xing bian liang	1
泛型类型定义	fan xing lei xing ding yi	6
泛型编程	fan xing bian cheng	12
泛微	fan wei	7
泛洪	fan hong	3
泡网	pao wang	19
波峰焊	bo feng han	1
注册机构	zhu ce ji gou	34
注册登录	zhu ce deng lu	2
注册码	zhu ce ma	3
注册过程	zhu ce guo cheng	1
注意力聚焦	zhu yi li ju jiao	1
注解开发	zhu jie kai fa	9
注解方式	zhu jie fang shi	1
注解配置	zhu jie pei zhi	12
注释模板	zhu shi mu ban	10
注释转换	zhu shi zhuan huan	6
泰森多边形	tai sen duo bian xing	7
洗牌算法	xi pai suan fa	9
活动分区	huo dong fen qu	7
活动图	huo dong tu	21
活动文件	huo dong wen jian	9
活动模板库	huo dong mu ban ku	8
活动状态	huo dong zhuang tai	32
活动目录	huo dong mu lu	8
活动进程	huo dong jin cheng	11
活动页	huo dong ye	2
活动驱动器	huo dong qu dong qi	4
派生类	pai sheng lei	35
流依赖	liu yi lai	4
流处理	liu chu li	28
流媒体协议	liu mei ti xie yi	2
流媒体开发	liu mei ti kai fa	8
流媒体服务器	liu mei ti fu wu qi	3
流媒体直播	liu mei ti zhi bo	8
流布局	liu bu ju	1
流式布局	liu shi bu ju	11
流式计算	liu shi ji suan	11
流控制	liu kong zhi	16
流操作	liu cao zuo	2
流方式	liu fang shi	4
流氓软件	liu mang ruan jian	5
流水号	liu shui hao	14
流水线停顿	liu shui xian ting dun	6
流水线处理	liu shui xian chu li	2
流水线控制	liu shui xian kong zhi	5
流水线效率	liu shui xian xiao lv	6
流程引擎	liu cheng yin qing	11
流程控制	liu cheng kong zhi	10
流程控制语句	liu cheng kong zhi yu ju	12
流程模型	liu cheng mo xing	8
流程管理	liu cheng guan li	13
流程管理系统	liu cheng guan li xi tong	1
流程管理软件	liu cheng guan li ruan jian	6
流计算	liu ji suan	1
流量控制	liu liang kong zhi	35
流量监控	liu liang jian kong	16
流量管理	liu liang guan li	5
流量统计	liu liang tong ji	8
浅克隆	qian ke long	10
浅复制	qian fu zhi	12
浅拷贝	qian kao bei	13
测定方法	ce ding fang fa	16
测试之道	ce shi zhi dao	7
测试人员	ce shi ren yuan	29
测试任务	ce shi ren wu	22
测试例程	ce shi li cheng	8
测试台	ce shi tai	16
测试命令	ce shi ming ling	11
测试响应	ce shi xiang ying	7
测试工具	ce shi gong ju	27
测试工程师	ce shi gong cheng shi	22
测试开发	ce shi kai fa	2
测试思想	ce shi si xiang	8
测试技巧	ce shi ji qiao	7
测试报告	ce shi bao gao	20
测试探针	ce shi tan zhen	1
测试提示	ce shi ti shi	6
测试数据	ce shi shu ju	25
测试文本	ce shi wen ben	9
测试方法	ce shi fang fa	48
测试日志	ce shi ri zhi	9
测试时间	ce shi shi jian	12
测试有效性	ce shi you xiao xing	1
测试杂志	ce shi za zhi	5
测试板	ce shi ban	2
测试框架	ce shi kuang jia	6
测试流程	ce shi liu cheng	6
测试点	ce shi dian	27
测试环境	ce shi huan jing	11
测试理论	ce shi li lun	2
测试生成	ce shi sheng cheng	1
测试用例	ce shi yong li	25
测试程序	ce shi cheng xu	15
测试策略	ce shi ce lve	1
测试管理	ce shi guan li	3
测试管理工具	ce shi guan li gong ju	9
测试类	ce shi lei	2
测试经验	ce shi jing yan	2
测试综合	ce shi zong he	2
测试背景	ce shi bei jing	8
测试脚本	ce shi jiao ben	9
测试自动化	ce shi zi dong hua	10
测试覆盖	ce shi fu gai	1
测试规约	ce shi gui yue	5
测试计划	ce shi ji hua	26
测试设备	ce shi she bei	18
测试设计	ce shi she ji	4
测试评估	ce shi ping gu	9
测试评审	ce shi ping shen	1
测试语言	ce shi yu yan	2
测试资源	ce shi zi yuan	11
测试过程	ce shi guo cheng	37
测试运维	ce shi yun wei	5
测试运行	ce shi yun xing	11
测试顺序	ce shi shun xu	8
测试驱动器	ce shi qu dong qi	6
测试驱动开发	ce shi qu dong kai fa	4
测试驱动程序	ce shi qu dong cheng xu	10
测量范围	ce liang fan wei	7
浏览器兼容	liu lan qi jian rong	2
浏览器兼容性	liu lan qi jian rong xing	2
浏览器内核	liu lan qi nei he	5
浏览器插件	liu lan qi cha jian	11
浏览器服务器	liu lan qi fu wu qi	9
浏览器版本	liu lan qi ban ben	6
浏览器缓存	liu lan qi huan cun	11
浏览器脚本	liu lan qi jiao ben	8
浏览器项目	liu lan qi xiang mu	7
浮动块	fu dong kuai	8
浮点乘	fu dian cheng	1
浮点加	fu dian jia	5
浮点变量	fu dian bian liang	1
浮点型	fu dian xing	7
浮点处理单元	fu dian chu li dan yuan	5
浮点常量	fu dian chang liang	9
浮点数运算	fu dian shu yun suan	8
浮点标准	fu dian biao zhun	7
浮点运算单元	fu dian yun suan dan yuan	3
浮点除	fu dian chu	1
海思开发	hai si kai fa	5
海水淡化膜	hai shui dan hua mo	5
海量存储器	hai liang cun chu qi	5
海量数据	hai liang shu ju	10
海量数据处理	hai liang shu ju chu li	12
