# 青简领域词库：成语，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
人之将死其言也善	ren zhi jiang si qi yan ye shan	6
人事不省	ren shi bu xing	1
人事不知	ren shi bu zhi	4
人五人六	ren wu ren liu	9
人亡政息	ren wang zheng xi	3
人人得而诛之	ren ren de er zhu zhi	40
人人有份	ren ren you fen	29
人人皆知	ren ren jie zhi	19
人人自危	ren ren zi wei	28
人同此心	ren tong ci xin	2
人声鼎沸	ren sheng ding fei	32
人多口杂	ren duo kou za	5
人多手杂	ren duo shou za	5
人多眼杂	ren duo yan za	8
人弃我取	ren qi wo qu	6
人心不足蛇吞象	ren xin bu zu she tun xiang	25
人心叵测	ren xin po ce	43
人心大快	ren xin da kuai	6
人心惟危	ren xin wei wei	7
人心涣散	ren xin huan san	9
人心齐泰山移	ren xin qi tai shan yi	6
人怕出名猪怕壮	ren pa chu ming zhu pa zhuang	47
人情世态	ren qing shi tai	2
人情之常	ren qing zhi chang	6
人才难得	ren cai nan de	2
人文荟萃	ren wen hui cui	6
人无远虑	ren wu yuan lv	11
人无远虑必有近忧	ren wu yuan lv bi you jin you	19
人有旦夕祸福	ren you dan xi huo fu	7
人来客往	ren lai ke wang	6
人活一张脸	ren huo yi zhang lian	5
人烟稠密	ren yan chou mi	5
人生七十古来稀	ren sheng qi shi gu lai xi	4
人生自古谁无死	ren sheng zi gu shei wu si	2
人生路不熟	ren sheng lu bu shu	11
人穷志不短	ren qiong zhi bu duan	11
人穷志短	ren qiong zhi duan	38
人而无信	ren er wu xin	1
人财两失	ren cai liang shi	3
人财两空	ren cai liang kong	43
人逢喜事精神爽	ren feng xi shi jing shen shuang	8
人间地狱	ren jian di yu	30
人间天上	ren jian tian shang	7
人间重晚晴	ren jian zhong wan qing	7
人非圣贤	ren fei sheng xian	30
人非草木	ren fei cao mu	6
人面桃花	ren mian tao hua	30
仁心仁术	ren xin ren shu	14
仁民爱物	ren min ai wu	2
仁者乐山	ren zhe le shan	10
仆仆风尘	pu pu feng chen	6
