# 青简领域词库：历史人物，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
刘干	liu gan	5
刘广智	liu guang zhi	1
刘庆东	liu qing dong	6
刘应时	liu ying shi	1
刘度	liu du	16
刘廷玑	liu ting ji	3
刘建宏	liu jian hong	2
刘式训	liu shi xun	5
刘弗陵	liu fu ling	11
刘弘毅	liu hong yi	1
刘弘章	liu hong zhang	7
刘彘	liu zhi	2
刘彧	liu yu	40
刘彻	liu che	22
刘征	liu zheng	16
刘循	liu xun	16
刘德谦	liu de qian	8
刘心武	liu xin wu	8
刘志江	liu zhi jiang	1
刘忻	liu xin	29
刘恂	liu xun	1
刘恒	liu heng	29
刘恕	liu shu	9
刘恢	liu hui	10
刘悦	liu yue	18
刘惠亮	liu hui liang	6
刘愫	liu su	3
刘懋	liu mao	32
刘懋功	liu mao gong	9
刘承俊	liu cheng jun	2
刘承宗	liu cheng zong	3
刘承干	liu cheng gan	2
刘攽	liu ban	1
刘放	liu fang	18
刘敞	liu chang	17
刘敦桢	liu dun zhen	13
刘文华	liu wen hua	5
刘文哲	liu wen zhe	1
刘文彬	liu wen bin	9
刘文敏	liu wen min	1
刘文斌	liu wen bin	12
刘文正	liu wen zheng	24
刘文浩	liu wen hao	7
刘文淇	liu wen qi	2
刘文璞	liu wen pu	1
刘文雄	liu wen xiong	30
刘新华	liu xin hua	7
刘方	liu fang	29
刘日新	liu ri xin	2
刘旺枝	liu wang zhi	3
刘旻	liu min	32
刘昌赫	liu chang he	10
刘星炜	liu xing wei	5
刘春生	liu chun sheng	1
刘春雷	liu chun lei	3
刘春霖	liu chun lin	12
刘昱	liu yu	35
刘晓庆	liu xiao qing	37
刘晔	liu ye	28
刘晟	liu sheng	30
刘晨	liu chen	5
刘景山	liu jing shan	1
刘朴	liu pu	11
刘权之	liu quan zhi	1
刘杉	liu shan	1
刘枚	liu mei	5
刘桂五	liu gui wu	1
刘桂霞	liu gui xia	5
刘桢	liu zhen	10
刘榛	liu zhen	2
刘歆	liu xin	33
刘正山	liu zheng shan	6
刘步蟾	liu bu chan	5
刘武周	liu wu zhou	38
刘殿中	liu dian zhong	3
刘毓	liu yu	23
刘毓中	liu yu zhong	1
刘毓崧	liu yu song	2
刘永治	liu yong zhi	5
刘永济	liu yong ji	6
刘永福	liu yong fu	39
刘永锡	liu yong xi	7
刘江华	liu jiang hua	40
刘治中	liu zhi zhong	3
刘泰	liu tai	27
刘海涛	liu hai tao	11
刘淼	liu miao	11
刘清扬	liu qing yang	15
刘澄	liu cheng	16
刘灼	liu zhuo	3
刘炜	liu wei	43
刘炜华	liu wei hua	3
刘炟	liu da	4
刘炯	liu jiong	7
刘焉	liu yan	33
刘熙	liu xi	39
刘熙载	liu xi zai	3
刘爵	liu jue	3
刘牢之	liu lao zhi	36
刘献廷	liu xian ting	1
刘玉新	liu yu xin	6
刘玉浦	liu yu pu	2
刘玉章	liu yu zhang	6
刘玢	liu bin	12
刘珊玲	liu shan ling	4
刘珏	liu jue	5
刘珝	liu xu	2
刘理	liu li	8
刘琦	liu qi	19
刘琨	liu kun	42
刘琬	liu wan	4
刘琮	liu cong	17
刘琰	liu yan	4
刘琼	liu qiong	5
刘瑜	liu yu	26
刘瑶	liu yao	9
刘璇	liu xuan	22
刘璈	liu ao	8
刘璘	liu lin	3
刘璞	liu pu	2
刘瓒	liu zan	12
刘畴西	liu chou xi	5
刘白羽	liu bai yu	5
刘盈	liu ying	13
刘瞻	liu zhan	4
刘知几	liu zhi ji	13
刘磊	liu lei	17
刘祜	liu hu	3
刘福通	liu fu tong	22
刘禹锡	liu yu xi	20
刘秉忠	liu bing zhong	13
刘积仁	liu ji ren	7
刘穆	liu mu	11
刘端阳	liu duan yang	3
刘粲	liu can	15
刘素萍	liu su ping	9
刘繇	liu yao	9
刘纪鹏	liu ji peng	9
刘纯燕	liu chun yan	3
刘纶	liu lun	5
刘绍先	liu shao xian	9
刘绍南	liu shao nan	2
刘绍棠	liu shao tang	8
刘继元	liu ji yuan	16
刘缵	liu zuan	3
刘胡兰	liu hu lan	35
刘致	liu zhi	14
刘艾	liu ai	15
刘节	liu jie	6
刘芳菲	liu fang fei	5
刘苌	liu chang	2
刘茂恩	liu mao en	19
刘范	liu fan	7
刘菁	liu jing	3
刘蓓	liu bei	7
刘藻	liu zao	5
刘虞	liu yu	23
刘蜕	liu tui	3
刘衎	liu kan	4
刘衡	liu heng	2
刘询	liu xun	13
刘谌	liu chen	3
刘豫	liu yu	19
刘豹	liu bao	3
刘贤	liu xian	44
刘超	liu chao	36
刘辩	liu bian	5
刘辰翁	liu chen weng	2
刘达	liu da	46
刘迎	liu ying	15
刘迎建	liu ying jian	7
刘运生	liu yun sheng	1
刘连昆	liu lian kun	3
刘道一	liu dao yi	5
刘鄂	liu e	3
刘醒龙	liu xing long	15
刘銮	liu luan	14
刘鋹	liu chang	5
刘钧	liu jun	23
刘铮	liu zheng	49
刘锋	liu feng	15
刘锜	liu qi	15
刘锡玲	liu xi ling	3
刘锴	liu kai	1
刘长佑	liu chang you	3
刘长卿	liu chang qing	4
刘陶	liu tao	17
刘隆	liu long	10
刘隐	liu yin	34
刘雨卿	liu yu qing	7
刘雪庵	liu xue an	8
刘震东	liu zhen dong	5
刘震云	liu zhen yun	24
刘青藜	liu qing li	4
刘青青	liu qing qing	6
刘静波	liu jing bo	6
刘静钰	liu jing yu	3
刘韧	liu ren	6
刘颂	liu song	10
刘馥	liu fu	8
刘骜	liu ao	10
刘鸿声	liu hong sheng	1
刘鸿恩	liu hong en	2
刘鹏云	liu peng yun	4
刘鹗	liu e	8
刘麟瑞	liu lin rui	3
刘黑闼	liu hei ta	25
刘齐	liu qi	19
刘龙田	liu long tian	2
刚秋英	gang qiu ying	2
初元	chu yuan	25
利智	li zhi	14
别尔嘉耶夫	bie er jia ye fu	6
别拉诺夫	bie la nuo fu	3
别林斯基	bie lin si ji	26
前川清	qian chuan qing	1
前田亚季	qian tian ya ji	11
前田刚	qian tian gang	8
前田庆次	qian tian qing ci	11
前田有纪	qian tian you ji	1
前田爱	qian tian ai	17
剔成	ti cheng	4
加护亚依	jia hu ya yi	4
加斯奎特	jia si kui te	31
加林查	jia lin cha	1
加濑亮	jia lai liang	4
加藤嘉明	jia teng jia ming	3
加藤夏希	jia teng xia xi	7
加藤惠	jia teng hui	2
加藤正夫	jia teng zheng fu	1
加藤清正	jia teng qing zheng	31
加藤爱	jia teng ai	10
加藤登纪子	jia teng deng ji zi	10
加藤绫子	jia teng ling zi	8
加藤罗莎	jia teng luo sha	1
加藤英美里	jia teng ying mei li	20
加藤达也	jia teng da ye	14
加藤雅也	jia teng ya ye	1
励守谦	li shou qian	1
励宗万	li zong wan	3
劳乃宣	lao nai xuan	6
劳之辨	lao zhi bian	2
劳史	lao shi	3
劳干	lao gan	3
劳德鲁普	lao de lu pu	3
劳春燕	lao chun yan	1
劳权	lao quan	42
劳格	lao ge	20
勃劳希契	bo lao xi qi	1
勃朗特	bo lang te	30
勒夏特列	le xia te lie	47
勾践	gou jian	48
包世臣	bao shi chen	6
包冉	bao ran	6
包天笑	bao tian xiao	7
包尔汉	bao er han	15
包玉刚	bao yu gang	25
化方	hua fang	3
北乃纪伊	bei nai ji yi	2
北地郡	bei di jun	49
北山宏光	bei shan hong guang	11
北岛三郎	bei dao san lang	11
北川景子	bei chuan jing zi	23
北村一辉	bei cun yi hui	20
北条司	bei tiao si	15
北野武	bei ye wu	48
匡斌	kuang bin	1
匡衡	kuang heng	12
区大相	ou da xiang	4
区星	ou xing	3
千利休	qian li xiu	20
千叶彻弥	qian ye che mi	21
千叶真一	qian ye zhen yi	14
千叶繁	qian ye fan	19
半野喜弘	ban ye xi hong	3
华之鸿	hua zhi hong	1
华以刚	hua yi gang	1
华佗	hua tuo	43
华允诚	hua yun cheng	2
华坚	hua jian	33
华学明	hua xue ming	2
华察	hua cha	10
华岱	hua dai	1
华彦钧	hua yan jun	6
华恩	hua en	5
华文漪	hua wen yi	1
华栋	hua dong	4
华核	hua he	2
华歆	hua xin	10
华沅	hua yuan	2
华瀚	hua han	1
华燧	hua sui	3
华珵	hua cheng	3
华益慰	hua yi wei	2
华秋苹	hua qiu ping	13
华纯	hua chun	4
华西列夫斯基	hua xi lie fu si ji	37
华铨	hua quan	1
华雄	hua xiong	36
华黎明	hua li ming	10
卑弥呼	bei mi hu	31
卓琳	zhuo lin	7
卓秉恬	zhuo bing tian	1
单之蔷	shan zhi qiang	5
单士兵	dan shi bing	1
单大伟	dan da wei	5
单宇	dan yu	5
单希征	shan xi zheng	4
单炜	shan wei	3
单父	shan fu	19
单田芳	shan tian fang	8
单雄信	shan xiong xin	7
单霞丽	shan xia li	4
南佳也	nan jia ye	2
南凉	nan liang	46
南宫民	nan gong min	6
南庚	nan geng	2
南弘	nan hong	2
南怀瑾	nan huai jin	35
南明奈	nan ming nai	4
南海道	nan hai dao	7
博县	bo xian	3
博尔忽	bo er hu	11
博巴	bo ba	4
博斯曼	bo si man	36
博明	bo ming	43
博格坎普	bo ge kan pu	3
博涅克	bo nie ke	6
卜万苍	bu wan cang	22
卜凤波	bu feng bo	5
卜祥志	bu xiang zhi	1
卞喜	bian xi	1
卞永誉	bian yong yu	5
卞秉彬	bian bing bin	2
占旭刚	zhan xu gang	7
占西女王	zhan xi nv wang	2
卡尔马克思	ka er ma ke si	2
卡尼吉亚	ka ni ji ya	1
卡纳斯	ka na si	6
卡耐基	ka nai ji	29
卡萨尔斯	ka sa er si	17
卡萨诺瓦	ka sa nuo wa	31
卡雷卡	ka lei ka	5
卢世昌	lu shi chang	3
卢仝	lu tong	1
卢伦	lu lun	2
卢作孚	lu zuo fu	16
卢俊义	lu jun yi	8
卢冬生	lu dong sheng	5
卢南樵	lu nan qiao	4
卢同	lu tong	15
卢周来	lu zhou lai	2
卢嘉锡	lu jia xi	19
卢宇光	lu yu guang	7
卢巧音	lu qiao yin	40
卢广伟	lu guang wei	4
卢德铭	lu de ming	15
卢志	lu zhi	39
卢志强	lu zhi qiang	11
卢怀慎	lu huai shen	2
卢植	lu zhi	17
卢正雨	lu zheng yu	4
卢水胡	lu shui hu	9
卢永祥	lu yong xiang	33
卢求	lu qiu	3
卢洪春	lu hong chun	5
卢潮	lu chao	2
卢照邻	lu zhao lin	2
卢照龄	lu zhao ling	3
卢燕	lu yan	28
卢琦	lu qi	5
卢纶	lu lun	6
卢致德	lu zhi de	2
卢见曾	lu jian zeng	11
卢象升	lu xiang sheng	10
卢逊	lu xun	1
卢镐	lu hao	1
卢鸿杰	lu hong jie	3
卢龙塞	lu long sai	4
卫仲道	wei zhong dao	2
卫出公	wei chu gong	18
卫宣公	wei xuan gong	2
卫庄公	wei zhuang gong	7
卫康叔	wei kang shu	3
卫弘	wei hong	3
卫慧	wei hui	3
卫懿公	wei yi gong	6
卫成公	wei cheng gong	7
卫桓公	wei huan gong	3
卫武公	wei wu gong	2
卫灵公	wei ling gong	29
卫献公	wei xian gong	18
卫王	wei wang	30
卫瓘	wei guan	37
印建坤	yin jian kun	4
危素	wei su	6
卿士	qing shi	6
厂卫	chang wei	7
厉以宁	li yi ning	12
厉娜	li na	5
厉志	li zhi	11
厉晓秋	li xiao qiu	3
厉王	li wang	22
厉鹗	li e	2
厌次	yan ci	11
原千寻	yuan qian xun	1
原哲夫	yuan zhe fu	23
原济	yuan ji	3
原田芳雄	yuan tian fang xiong	6
原由子	yuan you zi	4
原纱央莉	yuan sha yang li	3
原鹿	yuan lu	7
及川光博	ji chuan guang bo	11
及川奈央	ji chuan nai yang	5
反町隆史	fan ding long shi	5
叔向	shu xiang	28
叔孙通	shu sun tong	3
古利特	gu li te	5
古华	gu hua	18
古多尔	gu duo er	12
古宇	gu yu	22
古德里安	gu de li an	26
古月	gu yue	9
古灵益	gu ling yi	7
古畑任三郎	gu tian ren san lang	10
古谷实	gu gu shi	2
古谷彻	gu gu che	17
句章	ju zhang	8
可韵	ke yun	3
史东山	shi dong shan	9
史冬鹏	shi dong peng	9
史善长	shi shan chang	2
史圣	shi sheng	3
史培	shi pei	1
史大成	shi da cheng	2
史孟麟	shi meng lin	2
史小诺	shi xiao nuo	1
史康	shi kang	3
史弼	shi bi	16
史文	shi wen	45
史明	shi ming	46
史沫特莱	shi mo te lai	11
史泰龙	shi tai long	22
史淑华	shi shu hua	3
史琳杰	shi lin jie	6
史良	shi liang	20
史谨	shi jin	2
史贻直	shi yi zhi	1
史量才	shi liang cai	14
史鉴	shi jian	7
史震林	shi zhen lin	2
史鹏	shi peng	2
右扶风	you fu feng	34
叶一茜	ye yi qian	16
叶为铭	ye wei ming	2
叶丽美	ye li mei	1
叶乔波	ye qiao bo	4
叶企孙	ye qi sun	11
叶伯英	ye bo ying	3
叶倩文	ye qian wen	17
叶全真	ye quan zhen	17
叶其蓁	ye qi zhen	3
叶初春	ye chu chun	12
叶卡捷琳娜二世	ye ka jie lin na er shi	48
叶名琛	ye ming chen	5
叶向高	ye xiang gao	22
叶启勋	ye qi xun	4
叶启彬	ye qi bin	3
叶国华	ye guo hua	3
叶圣陶	ye sheng tao	26
叶天士	ye tian shi	11
叶天赐	ye tian ci	3
叶子铭	ye zi ming	1
叶宪祖	ye xian zu	3
叶容	ye rong	1
叶廖缅科	ye liao mian ke	13
叶德辉	ye de hui	7
叶志成	ye zhi cheng	4
叶志超	ye zhi chao	3
叶恒	ye heng	4
叶文心	ye wen xin	4
叶时	ye shi	8
叶昌炽	ye chang chi	3
叶春及	ye chun ji	24
叶暗	ye an	1
叶树林	ye shu lin	2
叶桂	ye gui	10
叶梦龙	ye meng long	4
叶永烈	ye yong lie	13
叶洮	ye tao	5
叶满林	ye man lin	2
叶焕	ye huan	3
叶焕荣	ye huan rong	5
叶燮	ye xie	1
叶王	ye wang	4
叶璇	ye xuan	37
叶童	ye tong	40
叶笃正	ye du zheng	6
叶绍袁	ye shao yuan	3
叶美香	ye mei xiang	2
叶自成	ye zi cheng	4
叶舟	ye zhou	15
叶茂中	ye mao zhong	16
叶蓓	ye bei	2
叶衍兰	ye yan lan	5
叶襄	ye xiang	2
叶迎春	ye ying chun	2
叶适	ye shi	10
叶道芬	ye dao fen	2
叶钧	ye jun	3
叶铿	ye keng	2
叶长春	ye chang chun	2
叶长盛	ye chang sheng	4
叶飞	ye fei	45
叶鼎	ye ding	2
司徒眉生	si tu mei sheng	3
司徒非	si tu fei	1
司汤达	si tang da	17
司空图	si kong tu	24
司过	si guo	3
司马丕	si ma pi	6
司马南	si ma nan	20
司马奕	si ma yi	16
司马孚	si ma fu	26
司马岳	si ma yue	6
司马彪	si ma biao	10
司马德宗	si ma de zong	7
司马德文	si ma de wen	25
司马徽	si ma hui	8
司马攸	si ma you	22
司马曜	si ma yao	10
司马朗	si ma lang	8
司马望	si ma wang	14
司马炽	si ma chi	16
司马相如	si ma xiang ru	31
司马绍	si ma shao	11
司马聃	si ma dan	3
司马衍	si ma yan	12
司马衷	si ma zhong	22
司马邺	si ma ye	15
合浦郡	he pu jun	23
吉吉亚	ji ji ya	2
吉太	ji tai	2
吉奥夫	ji ao fu	3
吉梦熊	ji meng xiong	3
吉永小百合	ji yong xiao bai he	30
吉泽明步	ji ze ming bu	13
吉濑美智子	ji lai mei zhi zi	4
吉田拓郎	ji tian tuo lang	6
吉田洁	ji tian jie	12
吉田秋生	ji tian qiu sheng	14
吉田美香	ji tian mei xiang	3
吉祥天女	ji xiang tian nv	45
吉高由里子	ji gao you li zi	32
吉鸿昌	ji hong chang	49
吉黄	ji huang	4
同治帝	tong zhi di	36
名取裕子	ming qu yu zi	4
后槽	hou cao	3
后水尾天皇	hou shui wei tian huang	18
后藤真希	hou teng zhen xi	20
后藤麻衣	hou teng ma yi	3
后阳成天皇	hou yang cheng tian huang	17
吐尔逊	tu er xun	30
向举	xiang ju	4
向井亚纪	xiang jing ya ji	4
向井理	xiang jing li	15
向县	xiang xian	13
向守志	xiang shou zhi	5
向宠	xiang chong	3
向文波	xiang wen bo	9
向朗	xiang lang	12
向秀	xiang xiu	6
向警予	xiang jing yu	41
向阳红	xiang yang hong	5
向鼎	xiang ding	5
吕世杰	lv shi jie	3
吕丽萍	lv li ping	14
吕伯奢	lv bo she	6
吕伯望	lv bo wang	5
吕佛庭	lv fo ting	6
吕元	lv yuan	17
吕兴林	lv xing lin	2
吕凯	lv kai	5
吕厚山	lv hou shan	4
吕及	lv ji	2
吕叔湘	lv shu xiang	11
吕后	lv hou	33
吕坚	lv jian	18
吕坤	lv kun	4
吕天成	lv tian cheng	2
吕学	lv xue	46
吕宁思	lv ning si	6
吕宫	lv gong	10
吕宾	lv bin	6
吕小白	lv xiao bai	2
吕尚	lv shang	21
吕尚春	lv shang chun	3
吕山	lv shan	23
吕岱	lv dai	29
吕常	lv chang	1
吕建	lv jian	26
吕得	lv de	2
吕怀	lv huai	2
吕思勉	lv si mian	12
吕惠生	lv hui sheng	1
吕据	lv ju	6
吕旃蒙	lv zhan meng	5
吕晓明	lv xiao ming	1
吕本	lv ben	11
吕本富	lv ben fu	8
吕浩	lv hao	2
吕海寰	lv hai huan	12
吕淑华	lv shu hua	8
吕渊	lv yuan	4
吕熊	lv xiong	11
吕燕	lv yan	5
吕献	lv xian	1
吕王	lv wang	3
吕璜	lv huang	1
吕祖谦	lv zu qian	10
吕端	lv duan	4
吕纪	lv ji	5
吕纯阳	lv chun yang	13
吕继周	lv ji zhou	2
吕翔	lv xiang	7
吕良伟	lv liang wei	46
吕范	lv fan	33
吕荣	lv rong	2
吕虔	lv qian	3
吕贤基	lv xian ji	3
吕赤	lv chi	4
吕钦	lv qin	4
吕锦文	lv jin wen	3
吕陶	lv tao	5
吕隆	lv long	3
吕雉	lv zhi	16
吕震	lv zhen	3
吕静	lv jing	15
含章	han zhang	36
启功	qi gong	48
启普	qi pu	1
吴一舟	wu yi zhou	2
吴一鹏	wu yi peng	3
吴世泰	wu shi tai	3
吴东峰	wu dong feng	4
吴中行	wu zhong xing	6
吴之振	wu zhi zhen	1
吴之璠	wu zhi fan	3
吴之英	wu zhi ying	2
吴仁杰	wu ren jie	6
吴仞之	wu ren zhi	1
吴令	wu ling	28
吴仲禧	wu zhong xi	10
吴任臣	wu ren chen	5
吴优	wu you	25
吴伟业	wu wei ye	4
吴传玉	wu chuan yu	1
吴伯箫	wu bo xiao	1
吴作人	wu zuo ren	14
吴佩慈	wu pei ci	7
吴佳龙	wu jia long	3
吴俊卿	wu jun qing	4
吴信泉	wu xin quan	10
吴修	wu xiu	25
吴倩莲	wu qian lian	12
吴健雄	wu jian xiong	18
吴元龙	wu yuan long	1
吴兆棠	wu zhao tang	1
吴先声	wu xian sheng	4
吴光浩	wu guang hao	6
吴克仁	wu ke ren	1
吴克华	wu ke hua	12
吴克群	wu ke qun	49
吴兑	wu dui	1
吴兰	wu lan	19
吴兴祚	wu xing zuo	3
吴其浚	wu qi jun	1
吴冷西	wu leng xi	20
吴剑平	wu jian ping	8
吴匡	wu kuang	2
吴升	wu sheng	36
吴南	wu nan	22
吴历	wu li	9
吴可读	wu ke du	4
吴向东	wu xiang dong	3
吴向飞	wu xiang fei	3
吴启华	wu qi hua	21
吴嗣爵	wu si jue	1
吴嘉善	wu jia shan	3
吴国发	wu guo fa	3
吴国太	wu guo tai	9
吴均	wu jun	7
吴坤修	wu kun xiu	3
吴士杰	wu shi jie	1
吴复	wu fu	9
吴复古	wu fu gu	3
吴大帝孙权	wu da di sun quan	6
吴大澄	wu da cheng	1
吴大琨	wu da kun	27
吴大维	wu da wei	8
吴天保	wu tian bao	11
吴天明	wu tian ming	8
吴夫人	wu fu ren	3
吴奇伟	wu qi wei	22
吴奕	wu yi	17
吴妍秀	wu yan xiu	2
吴娈	wu luan	1
吴子兰	wu zi lan	10
吴子孝	wu zi xiao	2
吴子牛	wu zi niu	8
吴子良	wu zi liang	16
吴孟超	wu meng chao	10
吴安	wu an	24
吴宓	wu mi	15
吴宗濂	wu zong lian	15
吴宗麟	wu zong lin	1
吴宝书	wu bao shu	7
吴宝秀	wu bao xiu	2
吴小莉	wu xiao li	4
吴尔芙	wu er fu	11
吴岱	wu dai	44
吴岱豪	wu dai hao	4
吴嵩梁	wu song liang	2
吴广	wu guang	44
吴庆云	wu qing yun	4
吴应熊	wu ying xiong	7
吴应箕	wu ying ji	4
吴廷华	wu ting hua	2
吴廷康	wu ting kang	8
吴廷栋	wu ting dong	5
吴廷燮	wu ting xie	13
吴廷琛	wu ting chen	2
吴建豪	wu jian hao	49
吴建飞	wu jian fei	4
吴式芬	wu shi fen	2
吴弘道	wu hong dao	2
吴强	wu qiang	21
吴德福	wu de fu	3
吴志伟	wu zhi wei	1
吴志忠	wu zhi zhong	1
吴志淳	wu zhi chun	2
吴思敏	wu si min	4
吴恺	wu kai	9
吴懿	wu yi	5
吴成基	wu cheng ji	4
吴房	wu fang	12
吴承仕	wu cheng shi	21
吴振棫	wu zhen yu	5
吴振民	wu zhen min	1
吴敏树	wu min shu	3
吴敬梓	wu jing zi	7
吴敬琏	wu jing lian	18
吴文俊	wu wen jun	10
吴文炳	wu wen bing	2
吴新宇	wu xin yu	5
吴旦	wu dan	1
吴晋	wu jin	16
吴晓东	wu xiao dong	5
吴晓邦	wu xiao bang	24
吴景帝	wu jing di	12
吴智豪	wu zhi hao	3
吴暻	wu jing	3
吴有性	wu you xing	6
吴有训	wu you xun	15
吴末帝	wu mo di	6
吴本忠	wu ben zhong	2
吴极	wu ji	2
吴标	wu biao	4
吴格	wu ge	4
吴桂森	wu gui sen	2
吴梅	wu mei	39
吴棠	wu tang	7
吴楚帆	wu chu fan	10
吴楚材	wu chu cai	4
吴榕	wu rong	3
吴樾	wu yue	22
吴永刚	wu yong gang	2
吴汤兴	wu tang xing	5
吴沃尧	wu wo yao	1
吴沙	wu sha	26
吴泰	wu tai	26
吴浊流	wu zhuo liu	18
吴浚	wu jun	5
吴浩康	wu hao kang	48
吴涵	wu han	5
吴淑英	wu shu ying	5
吴淞笙	wu song sheng	1
吴淦	wu gan	1
吴清源	wu qing yuan	34
吴清玉	wu qing yu	5
吴渭	wu wei	3
吴湖帆	wu hu fan	17
吴激	wu ji	1
吴火狮	wu huo shi	22
吴炎	wu yan	5
吴烈	wu lie	13
吴焕先	wu huan xian	2
吴煦	wu xu	7
吴照	wu zhao	4
吴熙	wu xi	19
吴熙载	wu xi zai	1
吴献	wu xian	7
吴玉林	wu yu lin	6
吴玠	wu jie	48
吴班	wu ban	6
吴琠	wu tian	5
吴琼	wu qiong	23
吴瑕	wu xia	2
吴瑞林	wu rui lin	20
吴璘	wu lin	44
吴省钦	wu sheng qin	3
吴睿	wu rui	17
吴硕	wu shuo	12
吴祖光	wu zu guang	6
吴祥麟	wu xiang lin	2
吴禄贞	wu lu zhen	27
吴纯	wu chun	11
吴纲	wu gang	10
吴组缃	wu zu xiang	4
吴绍周	wu shao zhou	12
吴经熊	wu jing xiong	9
吴绮	wu qi	10
吴群	wu qun	7
吴翌凤	wu yi feng	1
吴耀宗	wu yao zong	25
吴肇毅	wu zhao yi	7
吴自新	wu zi xin	2
吴节	wu jie	5
吴芳吉	wu fang ji	4
吴芹	wu qin	4
吴若权	wu ruo quan	4
吴若甫	wu ruo fu	2
吴茵	wu yin	24
吴荣光	wu rong guang	2
吴荣生	wu rong sheng	4
吴菊花	wu ju hua	3
吴蓓	wu bei	10
吴藻	wu zao	11
吴虞	wu yu	4
吴襄	wu xiang	2
吴观岱	wu guan dai	1
吴觉农	wu jue nong	5
吴讷	wu ne	5
吴说	wu shuo	11
吴质	wu zhi	9
吴贻弓	wu yi gong	7
吴辰君	wu chen jun	1
吴运铎	wu yun duo	3
吴道子	wu dao zi	8
吴道镕	wu dao rong	1
吴郁生	wu yu sheng	1
吴金寿	wu jin shou	3
吴金梅	wu jin mei	4
吴钦烈	wu qin lie	2
吴钧	wu jun	7
吴铨	wu quan	1
吴锡麟	wu xi lin	3
吴锦城	wu jin cheng	3
吴镜汀	wu jing ting	6
吴阿仑	wu a lun	3
吴隐	wu yin	41
吴雪	wu xue	22
吴雯	wu wen	6
吴雷	wu lei	3
吴霖	wu lin	5
吴韦	wu wei	2
吴颂今	wu song jin	6
吴飞鹏	wu fei peng	5
吴鹏	wu peng	37
吴鹰	wu ying	1
吴麟	wu lin	13
吴麟征	wu lin zheng	8
吴鼎	wu ding	40
吴鼎元	wu ding yuan	2
吹石一惠	chui shi yi hui	7
吾彦	wu yan	1
吾粲	wu can	5
吾酷	wu ku	2
周一良	zhou yi liang	8
周世德	zhou shi de	4
周世金	zhou shi jin	4
周丽淇	zhou li qi	15
周义成	zhou yi cheng	1
周之桢	zhou zhi zhen	1
周之礼	zhou zhi li	3
周之祯	zhou zhi zhen	1
周乐清	zhou le qing	2
周亚夫	zhou ya fu	15
周京	zhou jing	6
周亮工	zhou liang gong	6
周仓	zhou cang	34
周仕	zhou shi	3
周伟童	zhou wei tong	4
周传瑛	zhou chuan ying	6
周传雄	zhou chuan xiong	19
周伦	zhou lun	3
周伯琦	zhou bo qi	1
周佐	zhou zuo	2
周体仁	zhou ti ren	6
周作人	zhou zuo ren	24
周佩	zhou pei	20
周俊勋	zhou jun xun	23
周信	zhou xin	32
周信芳	zhou xin fang	13
周健君	zhou jian jun	2
周元王	zhou yuan wang	6
周光召	zhou guang zhao	10
周克成	zhou ke cheng	3
周克芹	zhou ke qin	5
周兴岱	zhou xing dai	2
周兵	zhou bing	7
周其凤	zhou qi feng	5
周冕	zhou mian	5
周准	zhou zhun	4
周勃	zhou bo	27
周匡王	zhou kuang wang	2
周升	zhou sheng	7
周厉王	zhou li wang	22
周去非	zhou qu fei	1
周召	zhou shao	2
周号	zhou hao	3
周启邦	zhou qi bang	3
周哲	zhou zhe	24
周国平	zhou guo ping	16
周培源	zhou pei yuan	24
周士彬	zhou shi bin	4
周士第	zhou shi di	6
周士锦	zhou shi jin	2
周复	zhou fu	11
周大新	zhou da xin	9
周天球	zhou tian qiu	4
周太玄	zhou tai xuan	4
周太祖	zhou tai zu	32
周夷王	zhou yi wang	8
周奇奇	zhou qi qi	7
周如璧	zhou ru bi	4
周如砥	zhou ru di	1
周威烈王	zhou wei lie wang	5
周子安	zhou zi an	3
周子扬	zhou zi yang	4
周孝王	zhou xiao wang	18
周宁	zhou ning	43
周守忠	zhou shou zhong	4
周安王	zhou an wang	2
周宗建	zhou zong jian	9
周定王	zhou ding wang	22
周宝英	zhou bao ying	2
周实	zhou shi	5
周宣帝	zhou xuan di	48
周宣王	zhou xuan wang	46
周寿祺	zhou shou qi	2
周尚	zhou shang	16
周尚文	zhou shang wen	1
周履靖	zhou lv jing	2
周岱	zhou dai	18
周崇林	zhou chong lin	3
周巽	zhou xun	2
周希汉	zhou xi han	13
周干	zhou gan	6
周平王	zhou ping wang	10
周幽王	zhou you wang	15
周庄王	zhou zhuang wang	2
周庆云	zhou qing yun	2
周庆祥	zhou qing xiang	6
周应合	zhou ying he	1
周康王	zhou kang wang	10
周建人	zhou jian ren	20
周建烈	zhou jian lie	3
周开成	zhou kai cheng	2
周彦宏	zhou yan hong	6
周彩	zhou cai	3
周循	zhou xun	4
周德刚	zhou de gang	6
周必大	zhou bi da	17
